AI 016	2001
AI 1000	2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AI 620	2002,2003
AIBB 2020	2020,2021,2022,2023,2024,2025,2026
ALPHAGOMOKUGS	2018,2019,2020,2021,2022,2023,2024,2025,2026
ALPHAGOMOKUMK 2018	2018
ALPHAGOMOKUMK 2019	2019
ALPHAGOMOKUMK 2020	2020
ALPHAGOMOKUMK 2021	2021
ALPHAGOMOKUMK 2022	2022
ALPHAGOMOKUMK 2023	2023
ALPHAGOMOKUMK 2024	2024
ALPHAGOMOKUMK 2025	2025
ALPHAGOMOKUMK 2026	2026
AMOEBA 2009	2009
AMOEBA 2010	2010,2011,2012,2013,2014,2015
ANGEL 2022	2022,2023,2024,2025
ANGEL 2026	2026
ARBILLO 2022	2022,2023,2024,2025,2026
BARBAKAN 2021	2021,2022,2023,2024,2025,2026
BENJAMIN	2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BRUTEFOR	2000,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013
CARBON 2016	2016
CARBON 2017	2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CARBON HGARDEN2005	2005
CARBON HGARDEN2006	2006
CARBON HGARDEN2007	2007,2008,2009,2010,2011,2012,2013,2014,2015
CHIS 2016	2016
CHIS 2017	2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CHLORIS 2026	2026
CRUSHER 2010	2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CURNPIS	2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
DDQKCONQUER 2022	2022,2023,2024,2025
DDQKCONQUER 2026	2026
DEEPFIRE 2018	2018
DEEPFIRE 2019	2019,2020,2021,2022,2023,2024,2025,2026
DJALL 2017	2017
DJALL 2018	2018,2019,2020,2021,2022,2023,2024,2025,2026
DOLORES	2005
EGO 2018	2018
EGO 2019	2019,2020
EGO 2021	2021,2022,2023,2024,2025,2026
EGOZERO 2025	2025,2026
EMBRYO 2017	2017
EMBRYO 2018	2018
EMBRYO 2019	2019
EMBRYO 2020	2020
EMBRYO 2021	2021
EMBRYO 2022	2022
EMBRYO 2023	2023
EMBRYO 2024	2024
EMBRYO 2025	2025
EMBRYO 2026	2026
EULRING	2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
FASTGOMOKU 2014	2014,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
FASTGOMOKU 2015	2015
FIGRID 2025	2025
FIGRID 2026	2026
FIVEROW	2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
GMOTOR 2005	2005
GMOTOR 2006	2006
GMOTOR 2007	2007,2008,2009,2010
GMOTOR 2011	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
GOFIVE	2018,2019,2020,2021,2022,2023,2024,2025,2026
GORO 2004	2004
GORO 2005	2005,2006
GORO 2007	2007
GORO 2009	2009
GORO 2010	2010
GORO 2011	2011
GORO 2012	2012
GORO 2013	2013
GORO 2014	2014
GORO 2015	2015
GORO 2016	2016
GORO 2017	2017
GORO 2018	2018
HEWER 2003	2003
HEWER 2004	2004
HEWER 2008	2008
HEWER 2009	2009
HEWER 2010	2010,2011
HEWER 2012	2012,2013
HEWER 2014	2014
HEWER 2015	2015,2016,2017
HEWER 2018	2018,2019,2020,2021,2022,2023,2024,2025,2026
HEWER BETA2005	2005
HEWER S2018	2018,2019
HFM 2008	2008
HFM 2009	2009
HFM 2010	2010
HIGHFIVE	2014,2015
HRUBASILA	2000
IMRO 2013	2013,2014
IMRO 2015	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
JAX 2023	2023
JAX 2024	2024
JAX 2025	2025,2026
JUDE	2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
KANEC 2005	2005
KANEC 2006	2006,2007
KANEC 2008	2008
KANEC 2009	2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
KANEC 2026	2026
KATAGOMO 2021	2021,2022,2023,2024,2025
KATAGOMO 2026	2026
LAVENDER 2023	2023,2024,2025,2026
LEONARDO	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LICHT 2014	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
LIGHTBLUE	2018,2019,2020,2021,2022,2023,2024,2025,2026
MINTAKA 2026	2026
MONAS 2026	2026
MONKEY	2019,2020,2021,2022,2023,2024,2025,2026
MUSHROOM	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NABAMOKU 2007	2007
NABAMOKU 2008	2008,2009,2010,2011,2012,2013,2014,2015,2016
NOESIS	2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
OLECHKA 2026	2026
ONIX 2007	2007
ONIX 2008	2008,2009
ONIX 2010	2011
ONIX 2016	2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
PECUCHET	2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
PELA 2005	2005
PELA 2006	2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PELA 2016	2016
PELA 2017	2017,2018,2019,2020,2021,2022
PELA 2023	2023,2024,2025,2026
PENTAZEN 2019	2019
PENTAZEN 2020	2020
PENTAZEN 2021	2021,2022,2023,2024,2025,2026
PENTAZEN 2022	2022,2023,2024,2025,2026
PISQ 3	2000
PISQ 4	2000
PISQ 5	2000,2001,2002,2003,2004
PISQ 6	2003
PISQ 7	2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
PROLOG	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
PROLOG 36	2017
PUREROCKY	2016,2017,2019
PUREROCKY PUREGM2008	2008
PUREROCKY PUREGM2009	2009,2010
PUREROCKY PUREGM2011	2011
PUREROCKY PUREGM2012	2012,2014
PUREROCKY PUREGM2013	2013,2015
PUREROCKY PUREGM2020	2020
PUREROCKY PUREGM2021	2021,2022,2023,2024,2025,2026
PUSKVOREC	2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
QMENTAT 1	2001
QMENTAT 2	2002
QMENTAT 5	2003,2004
QMENTAT 6	2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
QMENTAT DEEPBLUE2000	2000,2001
RAPFI 2018	2018
RAPFI 2019	2019,2020
RAPFI 2021	2021
RAPFI 2022	2022
RAPFI 2023	2023
RAPFI 2024	2024
RAPFI 2025	2025,2026
RENJUSOLVER	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RENJUSOLVER BESTMOVE2004	2004,2005,2006,2007,2008,2009,2010
SKYZERO 2026	2026
SLOWRENJU 2013	2013
SLOWRENJU 2014	2014
SLOWRENJU 2015	2015
SLOWRENJU 2016	2016
SLOWRENJU 2017	2017
SLOWRENJU 2018	2018
SLOWRENJU 2019	2019
SLOWRENJU 2020	2020,2021,2022,2023,2024,2025,2026
SPARKLE	2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
SPARKLE IGNITOR2016	2016
SQUIRREL 2023	2023
SQUIRREL 2024	2024,2025,2026
STAHLFAUST	2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
STARDUST	2019,2020,2021,2022,2023,2024,2025,2026
STARPOINT 2026	2026
SWINE 2003	2003
SWINE 2004	2004
SWINE 2005	2005,2006
SWINE 2007	2007
SWINE 2008	2008
SWINE 2009	2009
SWINE 2010	2010
SWINE 2011	2011,2012
SWINE 2013	2013
SWINE 2014	2014
SWINE 2015	2015,2016
SWINE 2017	2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
SWINE KRYSA2002	2002,2003,2004,2005
TITO 2006	2006
TITO 2007	2007
TITO 2008	2008,2009
TITO 2010	2010,2011,2012,2013
TITO 2014	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
TKGOMOKU 2026	2026
TPTC 2025	2025,2026
TRUNKAT	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
VALKYRIE	2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
VIBEFIVE 2026	2026
WHATATEAM	2018,2019,2020,2021,2022,2023,2024,2025,2026
WHOSE 2017	2017
WHOSE 2018	2018
WHOSE 2019	2019,2020,2021,2022,2023,2024,2025,2026
WINE 2017	2017
WINE 2018	2018,2019,2020,2021,2022,2023,2024,2025,2026
WULIN	2019
XL	2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
XOXO 2015	2015
XOXO 2016	2016
XOXO 2017	2017
XOXO 2018	2018
XOXO 2019	2019
XOXO 2020	2020
XOXO 2021	2021,2022,2023,2024,2025,2026
YIXIN 2011	2011
YIXIN 2012	2012
YIXIN 2013	2013
YIXIN 2014	2014
YIXIN 2015	2015
YIXIN 2016	2016
YIXIN 2017	2017
YIXIN 2018	2018,2019,2020,2021,2022,2023,2024,2025,2026
ZETOR 2014	2014
ZETOR 2015	2015
ZETOR 2016	2016
ZETOR 2017	2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ZHOUMIAN 2022	2022,2023,2024,2025,2026
