Rank Name                       Elo    +    - games score oppo. draws 
   1 RAPFI 2025                2917   27   26  3912   96%  1935    4% 
   2 RAPFI 2024                2863   46   42  2712   98%  1782    2% 
   3 RAPFI 2023                2771   46   42  2208   97%  1721    0% 
   4 KATAGOMO 2026             2764   26   25  3504   92%  1742    3% 
   5 ALPHAGOMOKU.MK 2026       2751   26   25  2664   90%  1861    5% 
   6 CHLORIS 2026              2690   56   55   576   88%  1956    3% 
   7 ALPHAGOMOKU.MK 2025       2671   28   27  2616   90%  1817    3% 
   8 RAPFI 2022                2664   38   35  2064   95%  1709    1% 
   9 JAX 2025                  2641   18   18  4248   84%  1966    6% 
  10 ALPHAGOMOKU.MK 2023       2518   29   28  2280   90%  1738    2% 
  11 BARBAKAN 2021             2499   17   16  5424   83%  1868    0% 
  12 ALPHAGOMOKU.MK 2024       2496   24   24  2592   85%  1808    2% 
  13 EMBRYO 2020               2468   38   35  2016   95%  1631    1% 
  14 KATAGOMO 2021             2466   13   13  7896   81%  1932    3% 
  15 JAX 2024                  2462   23   23  2832   84%  1812    3% 
  16 EMBRYO 2026               2456   25   25  2664   76%  1877    2% 
  17 EMBRYO 2019               2456   42   39  2064   96%  1619    0% 
  18 EMBRYO 2025               2455   25   25  2616   80%  1829    2% 
  19 EMBRYO 2021               2451   29   28  1920   89%  1717    1% 
  20 PENTAZEN 2022             2439   18   18  2856   69%  2156    7% 
  21 EMBRYO 2022               2436   28   28  2064   86%  1720    1% 
  22 ALPHAGOMOKUMK 2022        2398   30   30  1800   85%  1677    2% 
  23 EMBRYO 2024               2396   23   23  2592   80%  1814    2% 
  24 RAPFI 2019                2391   31   30  2904   94%  1534    0% 
  25 RAPFI 2021                2389   26   26  2136   86%  1730    1% 
  26 EMBRYO 2018               2339   47   43  1368   95%  1511    0% 
  27 YIXIN 2017                2334   57   50  1560   97%  1498    0% 
  28 EMBRYO 2023               2318   26   25  2280   80%  1749    1% 
  29 ALPHAGOMOKUMK 2021        2317   28   28  1656   82%  1681    1% 
  30 YIXIN 2015                2291  122   94   352   97%  1400    0% 
  31 YIXIN 2018                2279   10   10 14280   72%  1930    1% 
  32 VIBEFIVE 2026             2273   26   25  3816   85%  1534    0% 
  33 PENTAZEN 2021             2254   14   13  5712   66%  1996    1% 
  34 YIXIN 2016                2234   66   58   672   95%  1479    0% 
  35 PENTAZEN 2020             2192   25   24  2376   85%  1633    1% 
  36 ALPHAGOMOKUMK 2020        2176   27   27  1800   83%  1613    0% 
  37 GORO 2018                 2132   33   32  1368   86%  1518    0% 
  38 RAPFI 2018                2114   29   28  2352   90%  1421    0% 
  39 STARPOINT 2026            2111   39   38  1104   76%  1616    2% 
  40 YIXIN 2014                2100   91   78   252   92%  1432    0% 
  41 XOXO 2020                 2070   31   31   720   62%  1968    0% 
  42 XOXO 2021                 2064   11   11  7728   52%  2017    0% 
  43 YIXIN 2013                2037   83   73   234   90%  1406    0% 
  44 SKYZERO 2026              2029   38   37  1104   73%  1619    0% 
  45 GORO 2015                 2015   76   70   304   88%  1376    0% 
  46 STARDUST                  2011   11   11  9240   62%  1804    0% 
  47 GORO 2016                 2002   54   51   516   86%  1409    0% 
  48 WULIN                     1978   19   19  3048   78%  1527    0% 
  49 GORO 2017                 1969   33   32  1200   85%  1443    0% 
  50 WINE 2018                 1943   10   10 10920   56%  1836    0% 
  51 SLOWRENJU 2020            1930    8    9 13536   47%  1973    1% 
  52 SLOWRENJU 2019            1925   21   21  2064   67%  1643    1% 
  53 HEWER 2014                1922   68   64   252   82%  1445    0% 
  54 ALPHAGOMOKUMK 2019        1922   22   22  1824   68%  1611    0% 
  55 XOXO 2019                 1913   23   23  1824   72%  1565    0% 
  56 HEWER 2018                1908    8    8 14760   55%  1825    1% 
  57 HEWER 2015                1907   21   21  2380   79%  1480    1% 
  58 JAX 2023                  1907   23   22  2640   74%  1489    0% 
  59 HEWER 2012                1906   50   48   444   82%  1411    0% 
  60 WHOSE 2019                1903    8    8 16920   50%  1903    1% 
  61 RENJUSOLVER               1899   10   10  6962   45%  1973    2% 
  62 HEWER S2018               1898   32   32   600   59%  1836    3% 
  63 EGOZERO 2025              1896   18   18  3744   69%  1576    0% 
  64 SLOWRENJU 2016            1896   39   38   672   76%  1503    1% 
  65 GORO 2013                 1894   71   66   258   84%  1375    0% 
  66 SLOWRENJU 2017            1893   25   25  1560   76%  1525    0% 
  67 SLOWRENJU 2018            1893   22   22  1776   69%  1590    0% 
