-	SVINE	HEWER	TRUNK	KRYSA	QMENT	PUSKVOR	PISQ5	LEON	PISQ6	BRUTE	BEN	AI1000	CURNPIS	AI620
SVINE	-	7 : 3	10 : 0	10 : 0	9 : 1	9 : 1	10 : 0	10 : 0	10 : 0	9 : 1	10 : 0	10 : 0	9 : 1	10 : 0
HEWER	3 : 7	-	3 : 7	8 : 2	6 : 4	6 : 4	7 : 3	8 : 2	8 : 2	9 : 1	9 : 1	10 : 0	8 : 2	6 : 4
TRUNKAT	0 : 10	7 : 3	-	1 : 9	7 : 3	5 : 5	9 : 1	10 : 0	7 : 3	7 : 3	9 : 1	9 : 1	10 : 0	10 : 0
KRYSA	0 : 10	2 : 8	9 : 1	-	7 : 3	2 : 8	7 : 3	10 : 0	9 : 1	10 : 0	9 : 1	10 : 0	10 : 0	10 : 0
QMENTAT	1 : 9	4 : 6	3 : 7	3 : 7	-	2 : 8	8 : 2	10 : 0	9 : 1	8 : 2	5 : 0	10 : 0	10 : 0	7 : 3
PUSKVOREC	1 : 9	4 : 6	5 : 5	8 : 2	8 : 2	-	8 : 2	5 : 5	5 : 5	5 : 5	10 : 0	10 : 0	10 : 0	5 : 5
PISQ5	0 : 10	3 : 7	1 : 9	3 : 7	2 : 8	2 : 8	-	8 : 2	5 : 4	7 : 3	4 : 2	9 : 1	7 : 3	8 : 2
LEONARDO	0 : 10	2 : 8	0 : 10	0 : 10	0 : 10	5 : 5	2 : 8	-	7 : 3	5 : 5	5 : 0	0 : 5	7 : 3	5 : 5
PISQ6	0 : 10	2 : 8	3 : 7	1 : 9	1 : 9	5 : 5	4 : 5	3 : 7	-	3 : 7	9 : 1	9 : 1	9 : 1	5 : 5
BRUTEFOR	1 : 9	1 : 9	3 : 7	0 : 10	2 : 8	5 : 5	3 : 7	5 : 5	7 : 3	-	5 : 5	5 : 5	5 : 5	10 : 0
BENJAMIN	0 : 10	1 : 9	1 : 9	0 : 10	0 : 5	0 : 10	2 : 4	0 : 5	1 : 9	5 : 5	-	5 : 0	3 : 0	10 : 0
AI1000	0 : 10	0 : 10	1 : 9	0 : 10	0 : 10	0 : 10	1 : 9	5 : 0	1 : 9	5 : 5	0 : 5	-	8 : 2	10 : 0
CURNPIS	1 : 9	2 : 8	0 : 10	0 : 10	0 : 10	0 : 10	3 : 7	3 : 7	1 : 9	5 : 5	0 : 3	2 : 8	-	6 : 4
AI620	0 : 10	4 : 6	0 : 10	0 : 10	3 : 7	5 : 5	2 : 8	5 : 5	5 : 5	0 : 10	0 : 10	0 : 10	4 : 6	-
