-	SVINE2	GORO	BESTMOVE	HEWER2	TRUNK	NOESIS	PUSKVOR	KRYSA	QMENT5	PISQ7	PISQ5	LEON	BEN	AI1000	CURNPIS
SVINE2	-	3 : 1	2 : 2	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
GORO	1 : 3	-	2 : 2	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
BESTMOVE	2 : 2	2 : 2	-	4 : 0	4 : 0	2 : 2	4 : 0	4 : 0	3 : 1	4 : 0	4 : 0	4 : 0	2 : 2	4 : 0	4 : 0
HEWER2	0 : 4	0 : 4	0 : 4	-	4 : 0	1 : 3	4 : 0	4 : 0	3 : 1	3 : 1	4 : 0	4 : 0	4 : 0	4 : 0	2 : 2
TRUNKAT	0 : 4	0 : 4	0 : 4	0 : 4	-	2 : 2	4 : 0	1 : 3	3 : 1	4 : 0	4 : 0	3 : 1	3 : 1	4 : 0	4 : 0
NOESIS	0 : 4	0 : 4	2 : 2	3 : 1	2 : 2	-	2 : 2	1 : 3	2 : 1	2 : 2	2 : 2	4 : 0	4 : 0	4 : 0	4 : 0
PUSKVOREC	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	2 : 2	-	3 : 1	3 : 1	4 : 0	4 : 0	2 : 2	3 : 1	4 : 0	4 : 0
KRYSA	0 : 4	0 : 4	0 : 4	0 : 4	3 : 1	3 : 1	1 : 3	-	1 : 3	2 : 2	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
QMENTAT	0 : 4	0 : 4	1 : 3	1 : 3	1 : 3	1 : 2	1 : 3	3 : 1	-	4 : 0	3 : 1	4 : 0	1 : 0	4 : 0	4 : 0
PISQ7	0 : 4	0 : 4	0 : 4	1 : 3	0 : 4	2 : 2	0 : 4	2 : 2	0 : 4	-	3 : 1	2 : 2	3 : 1	4 : 0	3 : 1
PISQ5	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	2 : 2	0 : 4	0 : 4	1 : 3	1 : 3	-	3 : 1	4 : 0	3 : 1	4 : 0
LEONARDO	0 : 4	0 : 4	0 : 4	0 : 4	1 : 3	0 : 4	2 : 2	0 : 4	0 : 4	2 : 2	1 : 3	-	4 : 0	2 : 2	4 : 0
BENJAMIN	0 : 4	0 : 4	2 : 2	0 : 4	1 : 3	0 : 4	1 : 3	0 : 4	0 : 1	1 : 3	0 : 4	0 : 4	-	4 : 0	1 : 0
AI1000	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	1 : 3	2 : 2	0 : 4	-	3 : 1
CURNPIS	0 : 4	0 : 4	0 : 4	2 : 2	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	1 : 3	0 : 4	0 : 4	0 : 1	1 : 3	-
