-	SVINE2	GORO	BESTMOVE	QMENTAT5	HEWER2	NOESIS	KRYSA	TRUNKAT	PUSKVOREC	PISQ7	PISQ5	AI1000	LEONARDO	BENJAMIN	CURNPIS
SVINE2	-	8 : 2	5 : 5	7 : 3	10 : 0	8 : 2	10 : 0	10 : 0	9 : 1	10 : 0	9 : 1	10 : 0	10 : 0	10 : 0	10 : 0
GORO	2 : 8	-	5 : 5	10 : 0	10 : 0	9 : 1	10 : 0	10 : 0	10 : 0	10 : 0	10 : 0	10 : 0	10 : 0	10 : 0	10 : 0
BESTMOVE	5 : 5	5 : 5	-	7 : 3	10 : 0	6 : 4	8 : 2	10 : 0	10 : 0	10 : 0	9 : 1	10 : 0	10 : 0	5 : 5	10 : 0
QMENTAT5	3 : 7	0 : 10	3 : 7	-	8 : 2	6 : 3	7 : 3	5 : 5	9 : 1	9 : 1	9 : 0	9 : 0	10 : 0	7 : 0	10 : 0
HEWER2	0 : 10	0 : 10	0 : 10	2 : 8	-	6 : 4	7 : 3	8 : 2	10 : 0	9 : 1	9 : 1	10 : 0	9 : 1	10 : 0	7 : 2
NOESIS	2 : 8	1 : 9	4 : 6	3 : 6	4 : 6	-	9 : 1	5 : 5	5 : 5	5 : 4	6 : 4	10 : 0	10 : 0	9 : 0	9 : 1
KRYSA	0 : 10	0 : 10	2 : 8	3 : 7	3 : 7	1 : 9	-	8 : 2	4 : 6	8 : 2	8 : 2	10 : 0	10 : 0	10 : 0	10 : 0
TRUNKAT	0 : 10	0 : 10	0 : 10	5 : 5	2 : 8	5 : 5	2 : 8	-	5 : 5	8 : 2	10 : 0	8 : 2	9 : 1	10 : 0	10 : 0
PUSKVOREC	1 : 9	0 : 10	0 : 10	1 : 9	0 : 10	5 : 5	6 : 4	5 : 5	-	9 : 1	6 : 4	10 : 0	5 : 5	9 : 1	10 : 0
PISQ7	0 : 10	0 : 10	0 : 10	1 : 9	1 : 9	4 : 5	2 : 8	2 : 8	1 : 9	-	6 : 4	5 : 5	7 : 3	7 : 3	8 : 2
PISQ5	1 : 9	0 : 10	1 : 9	0 : 9	1 : 9	4 : 6	2 : 8	0 : 10	4 : 6	4 : 6	-	7 : 3	7 : 3	8 : 1	9 : 1
AI1000	0 : 10	0 : 10	0 : 10	0 : 9	0 : 10	0 : 10	0 : 10	2 : 8	0 : 10	5 : 5	3 : 7	-	5 : 0	5 : 5	8 : 2
LEONARDO	0 : 10	0 : 10	0 : 10	0 : 10	1 : 9	0 : 10	0 : 10	1 : 9	5 : 5	3 : 7	3 : 7	0 : 5	-	10 : 0	7 : 3
BENJAMIN	0 : 10	0 : 10	5 : 5	0 : 7	0 : 10	0 : 9	0 : 10	0 : 10	1 : 9	3 : 7	1 : 8	5 : 5	0 : 10	-	6 : 2
CURNPIS	0 : 10	0 : 10	0 : 10	0 : 10	2 : 7	1 : 9	0 : 10	0 : 10	0 : 10	2 : 8	1 : 9	2 : 8	3 : 7	2 : 6	-
