-	PELA	GORO	BETA	SWINE	KRYSA	QMENTAT6	TRUNKAT	PUSKVOREC	BENJAMIN	NOESIS	PISQ7	LEONARDO	AI1000	DOLORES	CURNPIS
PELA	-	3 : 1	3 : 1	2 : 2	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
GORO	1 : 3	-	2 : 2	3 : 1	4 : 0	3 : 1	4 : 0	4 : 0	3 : 1	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
BETA	1 : 3	2 : 2	-	3 : 1	4 : 0	4 : 0	3 : 1	4 : 0	2 : 2	3 : 1	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
SWINE	2 : 2	1 : 3	1 : 3	-	4 : 0	4 : 0	4 : 0	3 : 1	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0	4 : 0
KRYSA	0 : 4	0 : 4	0 : 4	0 : 4	-	4 : 0	4 : 0	0 : 4	4 : 0	1 : 3	4 : 0	4 : 0	4 : 0	2 : 2	4 : 0
QMENTAT6	0 : 4	1 : 3	0 : 4	0 : 4	0 : 4	-	0 : 4	3 : 1	1 : 0	4 : 0	2 : 2	3 : 1	4 : 0	3 : 1	4 : 0
TRUNKAT	0 : 4	0 : 4	1 : 3	0 : 4	0 : 4	4 : 0	-	3 : 1	0 : 4	2 : 2	3 : 1	2 : 2	4 : 0	3 : 1	3 : 1
PUSKVOREC	0 : 4	0 : 4	0 : 4	1 : 3	4 : 0	1 : 3	1 : 3	-	1 : 3	2 : 2	3 : 1	2 : 2	4 : 0	4 : 0	3 : 1
BENJAMIN	0 : 4	1 : 3	2 : 2	0 : 4	0 : 4	0 : 1	4 : 0	3 : 1	-	2 : 2	0 : 4	2 : 2	4 : 0	2 : 2	4 : 0
NOESIS	0 : 4	0 : 4	1 : 3	0 : 4	3 : 1	0 : 4	2 : 2	2 : 2	2 : 2	-	2 : 2	2 : 2	2 : 2	4 : 0	3 : 1
PISQ7	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	2 : 2	1 : 3	1 : 3	4 : 0	2 : 2	-	2 : 2	2 : 2	4 : 0	3 : 1
LEONARDO	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	1 : 3	2 : 2	2 : 2	2 : 2	2 : 2	2 : 2	-	2 : 2	4 : 0	3 : 1
AI1000	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	2 : 2	2 : 2	2 : 2	-	4 : 0	3 : 1
DOLORES	0 : 4	0 : 4	0 : 4	0 : 4	2 : 2	1 : 3	1 : 3	0 : 4	2 : 2	0 : 4	0 : 4	0 : 4	0 : 4	-	3 : 1
CURNPIS	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	0 : 4	1 : 3	1 : 3	0 : 4	1 : 3	1 : 3	1 : 3	1 : 3	1 : 3	-
