-	PELA	TITO	GORO2005	KANEC	SWINE	HGARDEN	NOESIS	TRUNKAT	PUSKVOREC	G_MOTOR	BENJAMIN	LEONARDO	QMENTAT6	PISQ7	AI1000	CURNPIS	BRUTEFOR	BESTMOVE
PELA	-	4 : 2	1 : 5	1 : 5	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
TITO	2 : 4	-	4 : 2	3 : 3	3 : 3	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2005	5 : 1	2 : 4	-	1 : 5	3 : 3	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	3 : 3	5 : 1	-	3 : 3	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE	4 : 2	3 : 3	3 : 3	3 : 3	-	3 : 3	2 : 4	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN	4 : 2	4 : 2	3 : 3	4 : 2	3 : 3	-	2 : 4	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
NOESIS	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	4 : 2	-	1 : 5	2 : 4	1 : 5	2 : 4	1 : 5	1 : 5	1 : 5	2 : 4	4 : 2	0 : 6	0 : 6
TRUNKAT	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	-	2 : 4	3 : 3	1 : 5	4 : 2	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6
PUSKVOREC	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	4 : 2	-	2 : 4	3 : 3	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
G_MOTOR	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	5 : 1	3 : 3	4 : 2	-	3 : 3	2 : 4	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6
BENJAMIN	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	4 : 2	5 : 1	3 : 3	3 : 3	-	2 : 4	4 : 1	6 : 0	0 : 6	0 : 6	0 : 6	0 : 6
LEONARDO	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	2 : 4	4 : 2	4 : 2	4 : 2	-	3 : 3	1 : 5	3 : 3	2 : 4	0 : 6	0 : 6
QMENTAT6	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	4 : 2	4 : 2	5 : 1	1 : 4	3 : 3	-	3 : 3	2 : 4	1 : 5	0 : 6	0 : 6
PISQ7	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	5 : 1	5 : 1	0 : 6	5 : 1	3 : 3	-	4 : 2	1 : 5	0 : 6	0 : 6
AI1000	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	5 : 1	5 : 1	6 : 0	3 : 3	4 : 2	2 : 4	-	2 : 4	0 : 6	0 : 6
CURNPIS	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	2 : 4	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	5 : 1	5 : 1	4 : 2	-	0 : 6	0 : 6
BRUTEFOR	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	-	2 : 4
BESTMOVE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	-
CELKEM	91 : 11	88 : 14	87 : 15	82 : 20	83 : 19	80 : 22	55 : 47	47 : 55	47 : 55	48 : 54	39 : 62	39 : 63	38 : 63	35 : 67	29 : 73	23 : 79	4 : 98	2 : 100
RATIO	8.273	6.286	5.800	4.100	4.368	3.636	1.170	0.855	0.855	0.889	0.629	0.619	0.603	0.522	0.397	0.291	0.041	0.020
POINTS	48	44	44	41	40	38	30	25	25	23	17	17	17	13	13	9	3	0
