-	GORO2005	TITO	HGARDEN	PELA	SWINE	KANEC	BESTMOVE	NOESIS	QMENTAT6
GORO2005	-	2 : 4	2 : 4	3 : 3	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6
TITO	4 : 2	-	2 : 4	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6
HGARDEN	4 : 2	4 : 2	-	2 : 4	2 : 4	2 : 4	2 : 4	0 : 6	0 : 6
PELA	3 : 3	6 : 0	4 : 2	-	3 : 3	1 : 5	2 : 4	0 : 6	0 : 6
SWINE	5 : 1	6 : 0	4 : 2	3 : 3	-	3 : 3	1 : 5	1 : 5	0 : 6
KANEC	4 : 2	5 : 1	4 : 2	5 : 1	3 : 3	-	1 : 5	0 : 6	0 : 6
BESTMOVE	5 : 1	6 : 0	4 : 2	4 : 2	5 : 1	5 : 1	-	2 : 4	1 : 5
NOESIS	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	-	2 : 4
QMENTAT6	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	-
CELKEM	37 : 11	40 : 8	32 : 16	29 : 19	25 : 23	26 : 22	16 : 32	8 : 40	3 : 45
RATIO	3.364	5.000	2.000	1.526	1.087	1.182	0.500	0.200	0.067
POINTS	22	21	18	14	11	10	6	3	0
