-	TITO	HGARDEN	PELA	SWINE	KANEC	PECUCHET	GMOTOR	GORO2007	JUDE	NOESIS	TRUNKAT	QMENTAT6	LEONARDO	PUSKVOREC	BENJAMIN	AI1000	PISQ7	CURNPIS	NABAMOKU	BESTMOVE	BRUTEFOR
TITO	-	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN	4 : 2	-	2 : 4	2 : 4	1 : 5	3 : 3	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	4 : 2	4 : 2	-	2 : 4	2 : 4	0 : 6	2 : 4	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE	5 : 1	4 : 2	4 : 2	-	2 : 4	2 : 4	1 : 5	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	5 : 1	4 : 2	4 : 2	-	2 : 4	1 : 5	2 : 4	2 : 4	3 : 3	1 : 5	2 : 4	1 : 5	3 : 3	2 : 4	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6
PECUCHET	6 : 0	3 : 3	6 : 0	4 : 2	4 : 2	-	3 : 3	3 : 3	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
GMOTOR	6 : 0	5 : 1	4 : 2	5 : 1	5 : 1	3 : 3	-	2 : 4	0 : 6	3 : 3	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2007	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	3 : 3	4 : 2	-	0 : 6	3 : 3	1 : 5	3 : 3	0 : 6	0 : 6	3 : 3	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
JUDE	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	4 : 2	6 : 0	6 : 0	-	3 : 3	2 : 4	1 : 5	1 : 5	2 : 4	2 : 4	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
NOESIS	6 : 0	5 : 1	5 : 1	5 : 1	3 : 3	4 : 2	3 : 3	3 : 3	3 : 3	-	1 : 5	3 : 3	3 : 3	2 : 4	4 : 2	3 : 3	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6
TRUNKAT	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	5 : 1	4 : 2	5 : 1	-	2 : 4	0 : 6	3 : 3	3 : 3	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6
QMENTAT6	6 : 0	5 : 1	6 : 0	6 : 0	4 : 2	5 : 1	5 : 1	3 : 3	5 : 1	3 : 3	4 : 2	-	3 : 3	4 : 2	1 : 3	1 : 5	1 : 5	2 : 4	2 : 4	0 : 6	0 : 6
LEONARDO	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	6 : 0	3 : 3	-	3 : 3	2 : 4	2 : 4	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6
PUSKVOREC	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	6 : 0	5 : 1	6 : 0	4 : 2	4 : 2	3 : 3	2 : 4	3 : 3	-	4 : 2	2 : 4	1 : 5	0 : 6	3 : 3	0 : 6	0 : 6
BENJAMIN	5 : 1	5 : 1	6 : 0	6 : 0	4 : 2	5 : 1	6 : 0	3 : 3	4 : 2	2 : 4	3 : 3	3 : 1	4 : 2	2 : 4	-	4 : 1	6 : 0	1 : 3	1 : 5	0 : 6	0 : 6
AI1000	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	5 : 1	5 : 1	4 : 2	4 : 2	1 : 4	-	3 : 3	3 : 3	3 : 3	0 : 6	0 : 6
PISQ7	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	5 : 1	4 : 2	5 : 1	0 : 6	3 : 3	-	4 : 2	2 : 4	0 : 6	0 : 6
CURNPIS	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	4 : 2	6 : 0	3 : 1	3 : 3	2 : 4	-	2 : 4	0 : 6	0 : 6
NABAMOKU	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	4 : 2	6 : 0	3 : 3	5 : 1	3 : 3	4 : 2	4 : 2	-	0 : 6	0 : 6
BESTMOVE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	-	3 : 3
BRUTEFOR	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	-
TOTAL	113 : 7	104 : 16	105 : 15	98 : 22	80 : 40	82 : 38	84 : 36	75 : 45	63 : 57	64 : 56	57 : 63	52 : 66	45 : 75	50 : 70	45 : 70	37 : 82	37 : 83	30 : 88	28 : 92	3 : 117	3 : 117
RATIO	16.143	6.500	7.000	4.455	2.000	2.158	2.333	1.667	1.105	1.143	0.905	0.788	0.600	0.714	0.643	0.451	0.446	0.341	0.304	0.026	0.026
POINTS	60	55	54	51	44	42	41	34	34	28	26	24	24	22	20
