-	TITO	HGARDEN	SWINE	GORO2007	ONIX	PELA	KANEC	GMOTOR	PECUCHET	BESTMOVE	NOESIS	TRUNKAT
TITO	-	2 : 4	1 : 5	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN	4 : 2	-	1 : 5	1 : 5	3 : 3	0 : 6	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
SWINE	5 : 1	5 : 1	-	2 : 4	1 : 5	2 : 4	1 : 5	2 : 4	2 : 4	2 : 4	0 : 6	0 : 6
GORO2007	3 : 3	5 : 1	4 : 2	-	1 : 5	1 : 5	1 : 5	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6
ONIX	5 : 1	3 : 3	5 : 1	5 : 1	-	1 : 5	1 : 5	3 : 3	1 : 5	2 : 4	0 : 6	1 : 5
PELA	6 : 0	6 : 0	4 : 2	5 : 1	5 : 1	-	3 : 3	2 : 4	1 : 5	1 : 5	1 : 5	0 : 6
KANEC	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	3 : 3	-	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6
GMOTOR	6 : 0	5 : 1	4 : 2	4 : 2	3 : 3	5 : 1	3 : 3	-	4 : 2	2 : 4	1 : 5	0 : 6
PECUCHET	6 : 0	5 : 1	4 : 2	4 : 2	5 : 1	5 : 1	4 : 2	2 : 4	-	4 : 2	1 : 5	1 : 5
BESTMOVE	6 : 0	6 : 0	4 : 2	6 : 0	4 : 2	5 : 1	6 : 0	4 : 2	2 : 4	-	2 : 4	1 : 5
NOESIS	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	4 : 2	-	1 : 5
TRUNKAT	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	-
TOTAL	59 : 7	54 : 12	44 : 22	47 : 19	39 : 27	32 : 34	33 : 33	30 : 36	24 : 42	20 : 46	10 : 56	4 : 62
RATIO	8.429	4.500	2.000	2.474	1.444	0.941	1.000	0.833	0.571	0.435	0.179	0.065
POINTS	31	28	27	25	20	16	14	11	9	9	3	0
