-	HGARDEN07	HEWER	KANEC	HFM	NOESIS	GORO2007	AI1000	LEONARDO	PISQ7
HGARDEN07	-	3 : 3	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6
HEWER	3 : 3	-	0 : 6	2 : 4	0 : 6	2 : 4	0 : 6	0 : 6	1 : 5
KANEC	6 : 0	6 : 0	-	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5
HFM	5 : 1	4 : 2	4 : 2	-	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6
NOESIS	6 : 0	6 : 0	6 : 0	6 : 0	-	4 : 2	1 : 5	2 : 4	1 : 5
GORO2007	5 : 1	4 : 2	6 : 0	5 : 1	2 : 4	-	4 : 2	3 : 3	2 : 4
AI1000	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	2 : 4	-	5 : 1	2 : 4
LEONARDO	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	1 : 5	-	3 : 3
PISQ7	6 : 0	5 : 1	5 : 1	6 : 0	5 : 1	4 : 2	4 : 2	3 : 3	-
TOTAL	43 : 5	40 : 8	33 : 15	34 : 14	16 : 32	17 : 31	10 : 38	13 : 35	10 : 38
RATIO	8.600	5.000	2.200	2.429	0.500	0.548	0.263	0.371	0.263
POINTS	22	22	18	15	9	7	6	5	1
