-	SWINE	ONIX	JUDE	PECUCHET	TRUNKAT	BENJAMIN	FIVEROW	NABAMOKU_JAVA-CLIENT	PUREGM
SWINE	-	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6
ONIX	4 : 2	-	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
JUDE	6 : 0	5 : 1	-	1 : 5	3 : 3	1 : 5	2 : 4	1 : 5	0 : 6
PECUCHET	5 : 1	5 : 1	5 : 1	-	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6
TRUNKAT	6 : 0	5 : 1	3 : 3	5 : 1	-	0 : 6	3 : 3	3 : 3	0 : 6
BENJAMIN	6 : 0	6 : 0	5 : 1	4 : 2	6 : 0	-	3 : 3	2 : 4	0 : 6
FIVEROW	5 : 1	6 : 0	4 : 2	6 : 0	3 : 3	3 : 3	-	2 : 4	3 : 3
NABAMOKU_JAVA-CLIENT	6 : 0	6 : 0	5 : 1	6 : 0	3 : 3	4 : 2	4 : 2	-	1 : 5
PUREGM	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	5 : 1	-
CELKEM	44 : 4	41 : 7	29 : 19	30 : 18	23 : 25	16 : 32	16 : 32	13 : 35	4 : 44
POM�R	11.000	5.857	1.526	1.667	0.920	0.500	0.500	0.371	0.091
BODY	24	21	16	15	9	7	6	4	1
