-	TITO	PELA	GMOTOR	BESTMOVE	QMENTAT6	PUSKVOREC	BRUTEFOR	CURNPIS
TITO	-	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	4 : 2	-	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR	6 : 0	6 : 0	-	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6
BESTMOVE	6 : 0	5 : 1	4 : 2	-	2 : 4	1 : 5	2 : 4	3 : 3
QMENTAT6	6 : 0	6 : 0	5 : 1	4 : 2	-	3 : 3	0 : 6	0 : 6
PUSKVOREC	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	-	4 : 2	0 : 6
BRUTEFOR	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	2 : 4	-	3 : 3
CURNPIS	6 : 0	6 : 0	6 : 0	3 : 3	6 : 0	6 : 0	3 : 3	-
CELKEM	40 : 2	37 : 5	27 : 15	19 : 23	18 : 24	12 : 30	9 : 33	6 : 36
POM�R	20.000	7.400	1.800	0.826	0.750	0.400	0.273	0.167
BODY	21	18	15	10	7	4	4	2
