-	TITO	HGARDEN07	HEWER	SWINE	PELA	HFM	KANEC	JUDE	GMOTOR	PECUCHET	TRUNKAT	QMENTAT6	PUSKVOREC	NOESIS	ONIX	AI1000	PISQ7	LEONARDO	BENJAMIN	NABAMOKU_JAVA-CLIENT	FIVEROW	CURNPIS	PUREGM
TITO	-	2 : 4	1 : 5	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	4 : 2	-	2 : 4	3 : 3	2 : 4	1 : 5	2 : 4	0 : 6	2 : 4	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HEWER	5 : 1	4 : 2	-	2 : 4	3 : 3	2 : 4	1 : 5	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE	5 : 1	3 : 3	4 : 2	-	2 : 4	3 : 3	1 : 5	0 : 6	1 : 5	2 : 4	0 : 6	0 : 6	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	5 : 1	4 : 2	3 : 3	4 : 2	-	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HFM	6 : 0	5 : 1	4 : 2	3 : 3	5 : 1	-	0 : 6	0 : 6	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	4 : 2	5 : 1	5 : 1	5 : 1	6 : 0	-	1 : 5	3 : 3	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	1 : 5	1 : 5	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6
JUDE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	-	3 : 3	2 : 4	2 : 4	0 : 6	0 : 6	2 : 4	2 : 4	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6
GMOTOR	6 : 0	4 : 2	6 : 0	5 : 1	6 : 0	5 : 1	3 : 3	3 : 3	-	0 : 6	0 : 6	1 : 5	1 : 5	1 : 5	3 : 3	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PECUCHET	6 : 0	5 : 1	4 : 2	4 : 2	6 : 0	4 : 2	6 : 0	4 : 2	6 : 0	-	2 : 4	1 : 5	1 : 5	2 : 4	2 : 4	2 : 4	1 : 5	0 : 6	1 : 5	2 : 4	0 : 6	1 : 5	0 : 6
TRUNKAT	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	4 : 2	-	2 : 4	2 : 4	5 : 1	5 : 1	0 : 6	0 : 6	1 : 5	2 : 4	1 : 5	3 : 3	0 : 6	0 : 6
QMENTAT6	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	4 : 2	-	4 : 2	4 : 2	2 : 4	1 : 5	1 : 5	1 : 5	0 : 5	0 : 6	0 : 6	1 : 5	0 : 6
