-	TITO	ONIX	HGARDEN07	HEWER	HFM	SWINE	PELA	KANEC	GMOTOR	JUDE	BESTMOVE	PECUCHET
TITO	-	2 : 4	2 : 4	1 : 5	2 : 4	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
ONIX	4 : 2	-	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	4 : 2	4 : 2	-	1 : 5	1 : 5	1 : 5	3 : 3	0 : 6	0 : 6	0 : 6	2 : 4	1 : 5
HEWER	5 : 1	4 : 2	5 : 1	-	3 : 3	3 : 3	2 : 4	0 : 6	1 : 5	0 : 6	2 : 4	0 : 6
HFM	4 : 2	6 : 0	5 : 1	3 : 3	-	1 : 5	3 : 3	0 : 6	1 : 5	1 : 5	0 : 6	1 : 5
SWINE	5 : 1	5 : 1	5 : 1	3 : 3	5 : 1	-	0 : 6	2 : 4	0 : 6	0 : 6	1 : 5	1 : 5
PELA	4 : 2	6 : 0	3 : 3	4 : 2	3 : 3	6 : 0	-	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5
KANEC	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	4 : 2	5 : 1	-	4 : 2	1 : 5	2 : 4	2 : 4
GMOTOR	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	5 : 1	2 : 4	-	2 : 4	4 : 2	1 : 5
JUDE	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	4 : 2	-	2 : 4	1 : 5
BESTMOVE	6 : 0	6 : 0	4 : 2	4 : 2	6 : 0	5 : 1	6 : 0	4 : 2	2 : 4	4 : 2	-	3 : 3
PECUCHET	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	5 : 1	4 : 2	5 : 1	5 : 1	3 : 3	-
CELKEM	55 : 11	56 : 10	49 : 17	41 : 25	41 : 25	39 : 27	37 : 29	20 : 46	18 : 48	13 : 53	16 : 50	11 : 55
POM�R	5.000	5.600	2.882	1.640	1.640	1.444	1.276	0.435	0.375	0.245	0.320	0.200
BODY	33	30	25	20	20	19	17	9	9	6	4	1
