-	GORO2009	ONIX	HGARDEN07	HEWER	TITO	PELA	SWINE	KANEC	HFM
GORO2009	-	3 : 3	2 : 4	3 : 3	1 : 5	1 : 5	1 : 5	1 : 5	1 : 5
ONIX	3 : 3	-	4 : 2	1 : 5	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6
HGARDEN07	4 : 2	2 : 4	-	3 : 3	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6
HEWER	3 : 3	5 : 1	3 : 3	-	1 : 5	1 : 5	2 : 4	1 : 5	0 : 6
TITO	5 : 1	4 : 2	4 : 2	5 : 1	-	1 : 5	1 : 5	2 : 4	1 : 5
PELA	5 : 1	4 : 2	4 : 2	5 : 1	5 : 1	-	3 : 3	2 : 4	0 : 6
SWINE	5 : 1	5 : 1	5 : 1	4 : 2	5 : 1	3 : 3	-	3 : 3	0 : 6
KANEC	5 : 1	5 : 1	5 : 1	5 : 1	4 : 2	4 : 2	3 : 3	-	0 : 6
HFM	5 : 1	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	-
TOTAL	35 : 13	34 : 14	33 : 15	32 : 16	25 : 23	20 : 28	18 : 30	17 : 31	2 : 46
RATIO	2.692	2.429	2.200	2.000	1.087	0.714	0.600	0.548	0.043
POINTS	20	19	19	17	12	7	5	4	0
