-	PELA	KANEC	GORO2009	GMOTOR	AMOEBA	BESTMOVE	PECUCHET	JUDE	NOESIS
PELA	-	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6
KANEC	5 : 1	-	3 : 3	1 : 5	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6
GORO2009	4 : 2	3 : 3	-	2 : 4	3 : 3	0 : 6	1 : 5	0 : 6	0 : 6
GMOTOR	6 : 0	5 : 1	4 : 2	-	4 : 2	1 : 5	2 : 4	2 : 4	0 : 6
AMOEBA	6 : 0	5 : 1	3 : 3	2 : 4	-	3 : 3	3 : 3	3 : 3	1 : 5
BESTMOVE	6 : 0	5 : 1	6 : 0	5 : 1	3 : 3	-	2 : 4	3 : 3	1 : 5
PECUCHET	5 : 1	5 : 1	5 : 1	4 : 2	3 : 3	4 : 2	-	0 : 6	3 : 3
JUDE	6 : 0	5 : 1	6 : 0	4 : 2	3 : 3	3 : 3	6 : 0	-	3 : 3
NOESIS	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	3 : 3	3 : 3	-
TOTAL	44 : 4	35 : 13	35 : 13	24 : 24	22 : 26	17 : 31	19 : 29	12 : 36	8 : 40
RATIO	11.000	2.692	2.692	1.000	0.846	0.548	0.655	0.333	0.200
POINTS	24	19	17	12	10	8	5	3	2
