-	GORO2009	AMOEBA	NOESIS	FIVEROW	QMENTAT6	TRUNKAT	BENJAMIN	NABAMOKU	PUSKVOREC
GORO2009	-	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6
AMOEBA	4 : 2	-	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	1 : 5	1 : 5
NOESIS	6 : 0	4 : 2	-	1 : 5	3 : 3	1 : 5	0 : 6	2 : 4	1 : 5
FIVEROW	6 : 0	4 : 2	5 : 1	-	1 : 5	2 : 4	6 : 0	2 : 4	2 : 4
QMENTAT6	6 : 0	6 : 0	3 : 3	5 : 1	-	3 : 3	0 : 4	2 : 4	0 : 6
TRUNKAT	6 : 0	5 : 1	5 : 1	4 : 2	3 : 3	-	0 : 6	3 : 3	3 : 3
BENJAMIN	5 : 1	6 : 0	6 : 0	0 : 6	4 : 0	6 : 0	-	2 : 4	5 : 1
NABAMOKU	5 : 1	5 : 1	4 : 2	4 : 2	4 : 2	3 : 3	4 : 2	-	1 : 5
PUSKVOREC	6 : 0	5 : 1	5 : 1	4 : 2	6 : 0	3 : 3	1 : 5	5 : 1	-
TOTAL	44 : 4	37 : 11	30 : 18	20 : 28	21 : 25	19 : 29	12 : 34	18 : 30	13 : 35
RATIO	11.000	3.364	1.667	0.714	0.840	0.655	0.353	0.600	0.371
POINTS	24	21	16	12	11	6	6	4	4
