-	AMOEBA	NABAMOKU	FIVEROW	PISQ7	PUREGM2	AI1000	BRUTEFOR	CURNPIS	LEONARDO
AMOEBA	-	0 : 6	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
NABAMOKU	6 : 0	-	3 : 3	0 : 6	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6
FIVEROW	3 : 3	3 : 3	-	3 : 3	2 : 4	1 : 5	1 : 5	3 : 3	2 : 4
PISQ7	5 : 1	6 : 0	3 : 3	-	4 : 2	2 : 4	3 : 3	2 : 4	2 : 4
PUREGM2	6 : 0	5 : 1	4 : 2	2 : 4	-	4 : 2	2 : 4	5 : 1	2 : 4
AI1000	6 : 0	5 : 1	5 : 1	4 : 2	2 : 4	-	5 : 1	1 : 4	2 : 4
BRUTEFOR	6 : 0	5 : 1	5 : 1	3 : 3	4 : 2	1 : 5	-	2 : 4	3 : 3
CURNPIS	6 : 0	6 : 0	3 : 3	4 : 2	1 : 5	4 : 1	4 : 2	-	4 : 2
LEONARDO	6 : 0	6 : 0	4 : 2	4 : 2	4 : 2	4 : 2	3 : 3	2 : 4	-
TOTAL	44 : 4	36 : 12	30 : 18	21 : 27	18 : 30	17 : 30	19 : 29	15 : 32	15 : 33
RATIO	11.000	3.000	1.667	0.778	0.600	0.567	0.655	0.469	0.455
POINTS	22	19	16	11	9	9	8	4	4
