-	HEWER	HGARDEN07	KANEC	TITO	PELA	GORO2009	GMOTOR	PECUCHET	SWINE	AMOEBA	HFM	JUDE	QMENTAT6	NABAMOKU	TRUNKAT	PUSKVOREC	PISQ7	BENJAMIN	FIVEROW	PUREGM2	LEONARDO	AI1000	CURNPIS
HEWER	-	2 : 4	3 : 3	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	4 : 2	-	2 : 4	3 : 3	2 : 4	2 : 4	0 : 6	3 : 3	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	3 : 3	4 : 2	-	2 : 4	2 : 4	2 : 4	4 : 2	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
TITO	4 : 2	3 : 3	4 : 2	-	1 : 5	2 : 4	0 : 6	2 : 4	2 : 4	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	4 : 2	4 : 2	4 : 2	5 : 1	-	1 : 5	2 : 4	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2009	6 : 0	4 : 2	4 : 2	4 : 2	5 : 1	-	3 : 3	0 : 6	3 : 3	0 : 6	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
GMOTOR	6 : 0	6 : 0	2 : 4	6 : 0	4 : 2	3 : 3	-	2 : 4	2 : 4	3 : 3	3 : 3	3 : 3	2 : 4	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
PECUCHET	6 : 0	3 : 3	6 : 0	4 : 2	3 : 3	6 : 0	4 : 2	-	2 : 4	3 : 3	2 : 4	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6
SWINE	6 : 0	5 : 1	5 : 1	4 : 2	5 : 1	3 : 3	4 : 2	4 : 2	-	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
AMOEBA	6 : 0	4 : 2	5 : 1	5 : 1	6 : 0	6 : 0	3 : 3	3 : 3	5 : 1	-	2 : 4	2 : 4	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
HFM	6 : 0	5 : 1	6 : 0	4 : 2	6 : 0	4 : 2	3 : 3	4 : 2	6 : 0	4 : 2	-	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
