-	GORO2010	TITO2010	ONIX2010	HGARDEN07	HEWER2010	PELA	SWINE2010	KANEC	HFM2010
GORO2010	-	3 : 3	1 : 5	1 : 5	1 : 5	1 : 5	3 : 3	0 : 6	1 : 5
TITO2010	3 : 3	-	4 : 2	2 : 4	2 : 4	2 : 4	2 : 4	0 : 6	0 : 6
ONIX2010	5 : 1	2 : 4	-	3 : 3	3 : 3	1 : 5	3 : 3	1 : 5	1 : 5
HGARDEN07	5 : 1	4 : 2	3 : 3	-	2 : 4	1 : 5	4 : 2	2 : 4	2 : 4
HEWER2010	5 : 1	4 : 2	3 : 3	4 : 2	-	1 : 5	3 : 3	0 : 6	0 : 6
PELA	5 : 1	4 : 2	5 : 1	5 : 1	5 : 1	-	2 : 4	2 : 4	1 : 5
SWINE2010	3 : 3	4 : 2	3 : 3	2 : 4	3 : 3	4 : 2	-	3 : 3	3 : 3
KANEC	6 : 0	6 : 0	5 : 1	4 : 2	6 : 0	4 : 2	3 : 3	-	2 : 4
HFM2010	5 : 1	6 : 0	5 : 1	4 : 2	6 : 0	5 : 1	3 : 3	4 : 2	-
TOTAL	37 : 11	33 : 15	29 : 19	25 : 23	28 : 20	19 : 29	23 : 25	12 : 36	10 : 38
RATIO	3.364	2.200	1.526	1.087	1.400	0.655	0.920	0.333	0.263
POINTS	20	19	15	13	11	9	8	4	1
