-	SWINE2010	KANEC	HFM2010	PECUCHET	GMOTOR	BESTMOVE	AMOEBA2010	NOESIS	QMENTAT6
SWINE2010	-	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	4 : 2	-	2 : 4	0 : 6	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6
HFM2010	5 : 1	4 : 2	-	3 : 3	2 : 4	1 : 5	2 : 4	1 : 5	0 : 6
PECUCHET	5 : 1	6 : 0	3 : 3	-	3 : 3	1 : 5	2 : 4	1 : 5	2 : 4
GMOTOR	6 : 0	4 : 2	4 : 2	3 : 3	-	2 : 4	1 : 5	0 : 6	0 : 6
BESTMOVE	6 : 0	6 : 0	5 : 1	5 : 1	4 : 2	-	2 : 4	3 : 3	2 : 4
AMOEBA2010	6 : 0	5 : 1	4 : 2	4 : 2	5 : 1	4 : 2	-	0 : 6	3 : 3
NOESIS	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	3 : 3	6 : 0	-	2 : 4
QMENTAT6	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	4 : 2	3 : 3	4 : 2	-
TOTAL	44 : 4	39 : 9	30 : 18	25 : 23	28 : 20	15 : 33	17 : 31	9 : 39	9 : 39
RATIO	11.000	4.333	1.667	1.087	1.400	0.455	0.548	0.231	0.231
POINTS	24	21	16	14	13	7	4	4	1
