-	GORO2010	HEWER2010	TITO2010	PELA	HGARDEN07	SWINE2010	KANEC	GMOTOR	ONIX2010	HFM2010	PECUCHET	AMOEBA2010	QMENTAT6	TRUNKAT	JUDE	NABAMOKU	PUSKVOREC	FIVEROW	BENJAMIN	LEONARDO	PUREGM2	AI1000	PISQ7	CURNPIS	BRAIN-CRUSHER2010
GORO2010	-	3 : 3	3 : 3	2 : 4	3 : 3	2 : 4	1 : 5	1 : 5	1 : 5	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5
HEWER2010	3 : 3	-	3 : 3	2 : 4	2 : 4	1 : 5	4 : 2	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
TITO2010	3 : 3	3 : 3	-	1 : 5	3 : 3	2 : 4	1 : 5	0 : 6	3 : 3	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	4 : 2	4 : 2	5 : 1	-	2 : 4	2 : 4	2 : 4	1 : 5	3 : 3	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	3 : 3	4 : 2	3 : 3	4 : 2	-	1 : 5	2 : 4	1 : 5	4 : 2	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE2010	4 : 2	5 : 1	4 : 2	4 : 2	5 : 1	-	1 : 5	2 : 4	3 : 3	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	2 : 4	5 : 1	4 : 2	4 : 2	5 : 1	-	3 : 3	3 : 3	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR	5 : 1	6 : 0	6 : 0	5 : 1	5 : 1	4 : 2	3 : 3	-	2 : 4	1 : 5	2 : 4	3 : 3	2 : 4	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
ONIX2010	5 : 1	5 : 1	3 : 3	3 : 3	2 : 4	3 : 3	3 : 3	4 : 2	-	3 : 3	2 : 4	2 : 4	3 : 3	3 : 3	1 : 5	3 : 3	1 : 5	1 : 5	2 : 4	1 : 5	1 : 5	1 : 5	1 : 5	2 : 4	1 : 5
HFM2010	4 : 2	6 : 0	5 : 1	5 : 1	4 : 2	3 : 3	4 : 2	5 : 1	3 : 3	-	2 : 4	3 : 3	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PECUCHET	4 : 2	6 : 0	5 : 1	5 : 1	5 : 1	6 : 0	5 : 1	4 : 2	4 : 2	4 : 2	-	3 : 3	0 : 6	3 : 3	2 : 4	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
AMOEBA2010	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	6 : 0	5 : 1	3 : 3	4 : 2	3 : 3	3 : 3	-	3 : 3	0 : 6	3 : 3	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6
QMENTAT6	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	6 : 0	6 : 0	3 : 3	-	1 : 5	3 : 3	1 : 5	0 : 6	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	2 : 4	1 : 5	0 : 6
TRUNKAT	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	5 : 1	3 : 3	6 : 0	5 : 1	-	1 : 5	2 : 4	1 : 5	2 : 4	0 : 6	1 : 5	2 : 4	1 : 5	1 : 5	2 : 4	2 : 4
JUDE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	5 : 1	4 : 2	5 : 1	6 : 0	4 : 2	3 : 3	3 : 3	5 : 1	-	0 : 6	1 : 5	2 : 4	0 : 6	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6	1 : 5
NABAMOKU	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	6 : 0	5 : 1	4 : 2	5 : 1	4 : 2	6 : 0	-	2 : 4	1 : 5	3 : 3	0 : 6	4 : 2	0 : 6	3 : 3	0 : 6	0 : 6
PUSKVOREC	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	4 : 2	-	1 : 5	1 : 5	3 : 3	5 : 1	1 : 5	1 : 5	2 : 4	0 : 6
FIVEROW	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	6 : 0	5 : 1	4 : 2	4 : 2	5 : 1	5 : 1	-	4 : 2	0 : 6	3 : 3	2 : 4	2 : 4	2 : 4	1 : 5
BENJAMIN	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	3 : 3	5 : 1	2 : 4	-	5 : 1	1 : 5	5 : 1	2 : 4	1 : 4	0 : 6
