-	TITO2010	H6	SWINE2011	GORO2011	ONIX2010	HEWER2010	YIXIN2011	HGARDEN07	PELA	GMOTOR2011
TITO2010	-	1 : 5	1 : 5	1 : 5	0 : 6	1 : 5	2 : 4	3 : 3	1 : 5	0 : 6
H6	5 : 1	-	4 : 2	3 : 3	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	2 : 4
SWINE2011	5 : 1	2 : 4	-	5 : 1	2 : 4	0 : 6	4 : 2	0 : 6	1 : 5	0 : 6
GORO2011	5 : 1	3 : 3	1 : 5	-	3 : 3	4 : 2	2 : 4	2 : 4	1 : 5	1 : 5
ONIX2010	6 : 0	5 : 1	4 : 2	3 : 3	-	1 : 5	3 : 3	2 : 4	1 : 5	2 : 4
HEWER2010	5 : 1	5 : 1	6 : 0	2 : 4	5 : 1	-	2 : 4	4 : 2	1 : 5	1 : 5
YIXIN2011	4 : 2	5 : 1	2 : 4	4 : 2	3 : 3	4 : 2	-	1 : 5	3 : 3	2 : 4
HGARDEN07	3 : 3	6 : 0	6 : 0	4 : 2	4 : 2	2 : 4	5 : 1	-	3 : 3	1 : 5
PELA	5 : 1	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	3 : 3	3 : 3	-	3 : 3
GMOTOR2011	6 : 0	4 : 2	6 : 0	5 : 1	4 : 2	5 : 1	4 : 2	5 : 1	3 : 3	-
TOTAL	44 : 10	37 : 17	35 : 19	32 : 22	27 : 27	23 : 31	26 : 28	20 : 34	14 : 40	12 : 42
RATIO	4.400	2.176	1.842	1.455	1.000	0.742	0.929	0.588	0.350	0.286
POINTS	25	19	18	17	14	12	11	8	3	1
