-	H6	SWINE2011	YIXIN2011	GMOTOR2011	KANEC	AMOEBA2010	PECUCHET	NOESIS	FIVEROW
H6	-	3 : 3	1 : 5	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6
SWINE2011	3 : 3	-	2 : 4	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
YIXIN2011	5 : 1	4 : 2	-	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR2011	5 : 1	4 : 2	5 : 1	-	0 : 6	4 : 2	2 : 4	0 : 6	2 : 4
KANEC	4 : 2	5 : 1	5 : 1	6 : 0	-	3 : 3	2 : 4	1 : 5	0 : 6
AMOEBA2010	6 : 0	5 : 1	6 : 0	2 : 4	3 : 3	-	4 : 2	1 : 5	0 : 6
PECUCHET	6 : 0	6 : 0	6 : 0	4 : 2	4 : 2	2 : 4	-	1 : 5	2 : 4
NOESIS	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	-	1 : 5
FIVEROW	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	4 : 2	5 : 1	-
TOTAL	41 : 7	39 : 9	37 : 11	26 : 22	22 : 26	21 : 27	17 : 31	8 : 40	5 : 43
RATIO	5.857	4.333	3.364	1.182	0.846	0.778	0.548	0.200	0.116
POINTS	22	22	18	12	10	10	9	3	0
