-	YIXIN2011	NOESIS	FIVEROW	QMENTAT6	JUDE	PUREGM_2011	TRUNKAT	NABAMOKU	BRUTEFOR	PUSKVOREC
YIXIN2011	-	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
NOESIS	6 : 0	-	0 : 6	5 : 1	2 : 4	4 : 2	1 : 5	2 : 4	2 : 4	1 : 5
FIVEROW	6 : 0	6 : 0	-	2 : 4	4 : 2	1 : 5	1 : 5	2 : 4	3 : 3	1 : 5
QMENTAT6	6 : 0	1 : 5	4 : 2	-	3 : 3	1 : 5	3 : 3	3 : 3	1 : 5	0 : 6
JUDE	6 : 0	4 : 2	2 : 4	3 : 3	-	3 : 3	3 : 3	2 : 4	1 : 5	0 : 6
PUREGM_2011	6 : 0	2 : 4	5 : 1	5 : 1	3 : 3	-	3 : 3	4 : 2	2 : 4	2 : 4
TRUNKAT	6 : 0	5 : 1	5 : 1	3 : 3	3 : 3	3 : 3	-	1 : 5	0 : 6	3 : 3
NABAMOKU	6 : 0	4 : 2	4 : 2	3 : 3	4 : 2	2 : 4	5 : 1	-	1 : 5	2 : 4
BRUTEFOR	6 : 0	4 : 2	3 : 3	5 : 1	5 : 1	4 : 2	6 : 0	5 : 1	-	3 : 3
PUSKVOREC	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	4 : 2	3 : 3	4 : 2	3 : 3	-
TOTAL	54 : 0	31 : 23	28 : 26	32 : 22	30 : 24	22 : 32	25 : 29	23 : 31	13 : 41	12 : 42
RATIO	-	1.348	1.077	1.455	1.250	0.688	0.862	0.742	0.317	0.286
POINTS	27	18	16	15	15	11	10	10	2	2
