-	YIXIN2011	PUREGM_2011	PUSKVOREC	BENJAMIN	PISQ7	LEONARDO	AI1000	BRAIN-CRUSHER2010	CURNPIS	MUSHROOM
YIXIN2011	-	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PUREGM_2011	6 : 0	-	3 : 3	4 : 2	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PUSKVOREC	6 : 0	3 : 3	-	1 : 5	1 : 5	3 : 3	1 : 5	1 : 5	3 : 3	0 : 6
BENJAMIN	6 : 0	2 : 4	5 : 1	-	5 : 1	0 : 6	2 : 4	0 : 6	1 : 5	0 : 6
PISQ7	6 : 0	5 : 1	5 : 1	1 : 5	-	2 : 4	2 : 4	2 : 4	1 : 5	1 : 5
LEONARDO	6 : 0	6 : 0	3 : 3	6 : 0	4 : 2	-	3 : 3	0 : 6	1 : 5	1 : 5
AI1000	6 : 0	6 : 0	5 : 1	4 : 2	4 : 2	3 : 3	-	0 : 6	0 : 6	0 : 6
BRAIN-CRUSHER2010	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	6 : 0	6 : 0	-	2 : 4	0 : 6
CURNPIS	6 : 0	6 : 0	3 : 3	5 : 1	5 : 1	5 : 1	6 : 0	4 : 2	-	0 : 6
MUSHROOM	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	-
TOTAL	54 : 0	40 : 14	35 : 19	33 : 21	29 : 25	24 : 30	26 : 28	13 : 41	14 : 40	2 : 52
RATIO	-	2.857	1.842	1.571	1.160	0.800	0.929	0.317	0.350	0.038
POINTS	27	19	18	18	18	11	10	6	4	0
