-	SWINE2011	TITO2010	H6	HEWER2010	YIXIN2011	PELA	GORO2011	HGARDEN07	ONIX2010	GMOTOR2011	KANEC	AMOEBA2010	PECUCHET	JUDE	NABAMOKU	QMENTAT6	TRUNKAT	FIVEROW	BENJAMIN	PUREGM_2011	PISQ7	AI1000	PUSKVOREC	LEONARDO	CURNPIS	BRAIN-CRUSHER2010	MUSHROOM
SWINE2011	-	2 : 4	1 : 5	2 : 4	1 : 5	5 : 1	2 : 4	2 : 4	2 : 4	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	2 : 4	1 : 5	0 : 6	0 : 6
TITO2010	4 : 2	-	5 : 1	1 : 5	2 : 4	2 : 4	0 : 6	2 : 4	0 : 6	2 : 4	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
H6	5 : 1	1 : 5	-	3 : 3	2 : 4	0 : 6	3 : 3	1 : 5	1 : 5	2 : 4	3 : 3	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
HEWER2010	4 : 2	5 : 1	3 : 3	-	4 : 2	3 : 3	2 : 4	2 : 4	2 : 4	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
YIXIN2011	5 : 1	4 : 2	4 : 2	2 : 4	-	3 : 3	4 : 2	4 : 2	1 : 5	0 : 6	2 : 4	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	1 : 5	4 : 2	6 : 0	3 : 3	3 : 3	-	3 : 3	3 : 3	4 : 2	3 : 3	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2011	4 : 2	6 : 0	3 : 3	4 : 2	2 : 4	3 : 3	-	3 : 3	0 : 6	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	3 : 3	0 : 6	0 : 6	0 : 6
HGARDEN07	4 : 2	4 : 2	5 : 1	4 : 2	2 : 4	3 : 3	3 : 3	-	4 : 2	2 : 4	2 : 4	0 : 6	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5
ONIX2010	4 : 2	6 : 0	5 : 1	4 : 2	5 : 1	2 : 4	6 : 0	2 : 4	-	4 : 2	3 : 3	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5
GMOTOR2011	4 : 2	4 : 2	4 : 2	5 : 1	6 : 0	3 : 3	3 : 3	4 : 2	2 : 4	-	1 : 5	3 : 3	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	5 : 1	3 : 3	4 : 2	4 : 2	6 : 0	5 : 1	4 : 2	3 : 3	5 : 1	-	2 : 4	1 : 5	1 : 5	2 : 4	0 : 6	0 : 6	0 : 6	3 : 3	0 : 6	0 : 6	0 : 6	2 : 4	2 : 4	0 : 6	0 : 6	0 : 6
AMOEBA2010	6 : 0	4 : 2	5 : 1	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	4 : 2	-	2 : 4	2 : 4	1 : 5	0 : 6	1 : 5	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
