-	YIXIN12	RENJUSOLVER	HEWER12	TITO10	SWINE11	HGARDEN07	GORO2012	GMOTOR11
YIXIN12	-	1 : 5	3 : 3	3 : 3	3 : 3	2 : 4	1 : 5	1 : 5
RENJUSOLVER	5 : 1	-	2 : 4	2 : 4	1 : 5	4 : 2	2 : 4	1 : 5
HEWER12	3 : 3	4 : 2	-	3 : 3	3 : 3	2 : 4	1 : 5	1 : 5
TITO10	3 : 3	4 : 2	3 : 3	-	3 : 3	3 : 3	1 : 5	0 : 6
SWINE11	3 : 3	5 : 1	3 : 3	3 : 3	-	2 : 4	3 : 3	1 : 5
HGARDEN07	4 : 2	2 : 4	4 : 2	3 : 3	4 : 2	-	4 : 2	2 : 4
GORO2012	5 : 1	4 : 2	5 : 1	5 : 1	3 : 3	2 : 4	-	2 : 4
GMOTOR11	5 : 1	5 : 1	5 : 1	6 : 0	5 : 1	4 : 2	4 : 2	-
TOTAL	28 : 14	25 : 17	25 : 17	25 : 17	22 : 20	19 : 23	16 : 26	8 : 34
RATIO	2.000	1.471	1.471	1.471	1.100	0.826	0.615	0.235
POINTS	15	15	12	10	10	7	7	0
