-	YIXIN12	HGARDEN07	GMOTOR11	PELA	KANEC	PECUCHET	AMOEBA10	NOESIS	JUDE	QMENTAT6
YIXIN12	-	2 : 4	2 : 4	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	4 : 2	-	0 : 6	3 : 3	2 : 4	0 : 6	1 : 5	1 : 5	1 : 5	0 : 6
GMOTOR11	4 : 2	6 : 0	-	2 : 4	2 : 4	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6
PELA	5 : 1	3 : 3	4 : 2	-	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	4 : 2	4 : 2	5 : 1	-	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5
PECUCHET	5 : 1	6 : 0	4 : 2	5 : 1	6 : 0	-	2 : 4	1 : 5	1 : 5	0 : 6
AMOEBA10	6 : 0	5 : 1	5 : 1	5 : 1	6 : 0	4 : 2	-	3 : 3	2 : 4	2 : 4
NOESIS	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	5 : 1	3 : 3	-	3 : 3	2 : 4
JUDE	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	3 : 3	-	2 : 4
QMENTAT6	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	4 : 2	4 : 2	-
TOTAL	47 : 7	42 : 12	37 : 17	39 : 15	34 : 20	24 : 30	16 : 38	13 : 41	11 : 43	7 : 47
RATIO	6.714	3.500	2.176	2.600	1.700	0.800	0.421	0.317	0.256	0.149
POINTS	27	22	21	19	15	12	7	5	4	0
