-	JUDE	NOESIS	QMENTAT6	TRUNKAT	PUREGM12	NABAMOKU	FIVEROW	PUSKVOREC	PISQ7	LEONARDO
JUDE	-	3 : 3	2 : 4	2 : 4	2 : 4	0 : 6	2 : 4	0 : 6	2 : 4	1 : 5
NOESIS	3 : 3	-	4 : 2	1 : 5	1 : 5	1 : 5	3 : 3	0 : 6	1 : 5	1 : 5
QMENTAT6	4 : 2	2 : 4	-	3 : 3	1 : 5	1 : 5	2 : 4	3 : 3	2 : 4	0 : 6
TRUNKAT	4 : 2	5 : 1	3 : 3	-	2 : 4	3 : 3	2 : 4	2 : 4	1 : 5	0 : 6
PUREGM12	4 : 2	5 : 1	5 : 1	4 : 2	-	3 : 3	2 : 4	2 : 4	2 : 4	2 : 4
NABAMOKU	6 : 0	5 : 1	5 : 1	3 : 3	3 : 3	-	1 : 5	3 : 3	3 : 3	1 : 5
FIVEROW	4 : 2	3 : 3	4 : 2	4 : 2	4 : 2	5 : 1	-	2 : 4	2 : 4	2 : 4
PUSKVOREC	6 : 0	6 : 0	3 : 3	4 : 2	4 : 2	3 : 3	4 : 2	-	1 : 5	2 : 4
PISQ7	4 : 2	5 : 1	4 : 2	5 : 1	4 : 2	3 : 3	4 : 2	5 : 1	-	3 : 3
LEONARDO	5 : 1	5 : 1	6 : 0	6 : 0	4 : 2	5 : 1	4 : 2	4 : 2	3 : 3	-
TOTAL	40 : 14	39 : 15	36 : 18	32 : 22	25 : 29	24 : 30	24 : 30	21 : 33	17 : 37	12 : 42
RATIO	2.857	2.600	2.000	1.455	0.862	0.800	0.800	0.636	0.459	0.286
POINTS	25	20	20	17	13	10	10	8	2	1
