-	PUSKVOREC	LEONARDO	PISQ7	AI1000	BENJAMIN	BRUTEFOR	CURNPIS	CRUSHER10	MUSHROOM
PUSKVOREC	-	2 : 4	1 : 5	1 : 5	2 : 4	4 : 2	0 : 6	0 : 6	0 : 6
LEONARDO	4 : 2	-	3 : 3	1 : 5	1 : 5	2 : 4	3 : 3	0 : 6	0 : 6
PISQ7	5 : 1	3 : 3	-	3 : 3	2 : 4	3 : 3	1 : 5	1 : 5	0 : 6
AI1000	5 : 1	5 : 1	3 : 3	-	3 : 3	1 : 5	0 : 6	2 : 4	0 : 6
BENJAMIN	4 : 2	5 : 1	4 : 2	3 : 3	-	2 : 4	0 : 5	0 : 6	0 : 6
BRUTEFOR	2 : 4	4 : 2	3 : 3	5 : 1	4 : 2	-	4 : 2	1 : 5	0 : 6
CURNPIS	6 : 0	3 : 3	5 : 1	6 : 0	5 : 0	2 : 4	-	3 : 3	0 : 6
CRUSHER10	6 : 0	6 : 0	5 : 1	4 : 2	6 : 0	5 : 1	3 : 3	-	0 : 6
MUSHROOM	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	-
TOTAL	38 : 10	34 : 14	30 : 18	29 : 19	29 : 18	25 : 23	17 : 30	13 : 35	0 : 48
RATIO	3.800	2.429	1.667	1.526	1.611	1.087	0.567	0.371	0.000
POINTS	21	17	15	14	13	10	8	4	0
