-	HEWER12	YIXIN12	SWINE11	TITO10	HGARDEN07	PELA	GMOTOR11	GORO2012	KANEC	AMOEBA10	PECUCHET	JUDE	QMENTAT6	NABAMOKU	TRUNKAT	PUSKVOREC	PUREGM12	FIVEROW	BENJAMIN	PISQ7	AI1000	LEONARDO	CURNPIS	CRUSHER10	MUSHROOM
HEWER12	-	4 : 2	1 : 5	3 : 3	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
YIXIN12	2 : 4	-	4 : 2	2 : 4	3 : 3	1 : 5	1 : 5	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE11	5 : 1	2 : 4	-	2 : 4	3 : 3	1 : 5	3 : 3	2 : 4	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
TITO10	3 : 3	4 : 2	4 : 2	-	3 : 3	1 : 5	0 : 6	1 : 5	1 : 5	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	6 : 0	3 : 3	3 : 3	3 : 3	-	2 : 4	1 : 5	3 : 3	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	6 : 0	5 : 1	5 : 1	5 : 1	4 : 2	-	3 : 3	2 : 4	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR11	6 : 0	5 : 1	3 : 3	6 : 0	5 : 1	3 : 3	-	3 : 3	1 : 5	1 : 5	2 : 4	1 : 5	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2012	5 : 1	5 : 1	4 : 2	5 : 1	3 : 3	4 : 2	3 : 3	-	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	6 : 0	5 : 1	5 : 1	5 : 1	6 : 0	5 : 1	5 : 1	4 : 2	-	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
AMOEBA10	5 : 1	5 : 1	5 : 1	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	-	2 : 4	2 : 4	3 : 3	1 : 5	2 : 4	1 : 5	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
