-	YIXIN13	TITO2010	RENJUSOLVER	HEWER12	GORO2013	HGARDEN07	SWINE13	GMOTOR2011	PELA
YIXIN13	-	1 : 5	5 : 1	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6
TITO2010	5 : 1	-	2 : 4	0 : 6	3 : 3	1 : 5	2 : 4	1 : 5	0 : 6
RENJUSOLVER	1 : 5	4 : 2	-	3 : 3	1 : 5	3 : 3	2 : 4	2 : 4	0 : 6
HEWER12	4 : 2	6 : 0	3 : 3	-	2 : 4	2 : 4	3 : 3	2 : 4	0 : 6
GORO2013	4 : 2	3 : 3	5 : 1	4 : 2	-	1 : 5	0 : 6	1 : 5	0 : 6
HGARDEN07	6 : 0	5 : 1	3 : 3	4 : 2	5 : 1	-	2 : 4	2 : 4	0 : 6
SWINE13	5 : 1	4 : 2	4 : 2	3 : 3	6 : 0	4 : 2	-	2 : 4	2 : 4
GMOTOR2011	6 : 0	5 : 1	4 : 2	4 : 2	5 : 1	4 : 2	4 : 2	-	2 : 4
PELA	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	4 : 2	-
TOTAL	37 : 11	34 : 14	32 : 16	26 : 22	30 : 18	21 : 27	18 : 30	14 : 34	4 : 44
RATIO	3.364	2.429	2.000	1.182	1.667	0.778	0.600	0.412	0.091
POINTS	21	19	17	14	13	10	7	3	0
