-	GORO2013	GMOTOR2011	PELA	SLOWRENJU	KANEC	JUDE	AMOEBA2010	PECUCHET	NOESIS	QMENTAT6
GORO2013	-	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR2011	5 : 1	-	1 : 5	0 : 6	2 : 4	1 : 5	2 : 4	1 : 5	1 : 5	1 : 5
PELA	6 : 0	5 : 1	-	1 : 5	2 : 4	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6
SLOWRENJU	6 : 0	6 : 0	5 : 1	-	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
KANEC	5 : 1	4 : 2	4 : 2	4 : 2	-	2 : 4	1 : 5	0 : 6	0 : 6	1 : 5
JUDE	6 : 0	5 : 1	5 : 1	5 : 1	4 : 2	-	2 : 4	0 : 6	2 : 4	1 : 5
AMOEBA2010	6 : 0	4 : 2	5 : 1	5 : 1	5 : 1	4 : 2	-	0 : 6	0 : 6	1 : 5
PECUCHET	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	-	0 : 6	3 : 3
NOESIS	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	-	1 : 5
QMENTAT6	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	3 : 3	5 : 1	-
TOTAL	52 : 2	40 : 14	37 : 17	33 : 21	33 : 21	24 : 30	24 : 30	10 : 44	9 : 45	8 : 46
RATIO	26.000	2.857	2.176	1.571	1.571	0.800	0.800	0.227	0.200	0.174
POINTS	27	24	21	18	15	12	9	4	3	1
