-	SLOWRENJU	JUDE	QMENTAT6	NABAMOKU	PUSKVOREC	PISQ7	LEONARDO	FIVEROW	TRUNKAT	PUREGM13
SLOWRENJU	-	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
JUDE	6 : 0	-	1 : 5	0 : 6	3 : 3	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6
QMENTAT6	6 : 0	5 : 1	-	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6	1 : 5	1 : 5
NABAMOKU	6 : 0	6 : 0	5 : 1	-	3 : 3	2 : 4	1 : 5	0 : 6	1 : 5	1 : 5
PUSKVOREC	6 : 0	3 : 3	4 : 2	3 : 3	-	3 : 3	2 : 4	0 : 6	1 : 5	1 : 5
PISQ7	6 : 0	6 : 0	5 : 1	4 : 2	3 : 3	-	1 : 5	2 : 4	4 : 2	3 : 3
LEONARDO	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	5 : 1	-	3 : 3	2 : 4	2 : 4
FIVEROW	6 : 0	5 : 1	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	-	2 : 4	2 : 4
TRUNKAT	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	2 : 4	4 : 2	4 : 2	-	1 : 5
PUREGM13	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	3 : 3	4 : 2	4 : 2	5 : 1	-
TOTAL	54 : 0	42 : 12	37 : 17	29 : 25	31 : 23	20 : 34	15 : 39	14 : 40	17 : 37	11 : 43
RATIO	-	3.500	2.176	1.160	1.348	0.588	0.385	0.350	0.459	0.256
POINTS	27	22	21	16	15	8	7	7	6	1
