-	SLOWRENJU	PISQ7	LEONARDO	IMRO74	VALKYRIE	AI1000	BRUTEFOR	BENJAMIN	CURNPIS	BRAIN-CRUSHER2010	MUSHROOM
SLOWRENJU	-	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PISQ7	6 : 0	-	1 : 5	4 : 2	2 : 4	0 : 6	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6
LEONARDO	6 : 0	5 : 1	-	2 : 4	1 : 5	4 : 2	2 : 4	0 : 6	3 : 3	0 : 6	0 : 6
IMRO74	6 : 0	2 : 4	4 : 2	-	5 : 1	2 : 4	3 : 3	1 : 5	2 : 4	2 : 4	0 : 6
VALKYRIE	6 : 0	4 : 2	5 : 1	1 : 5	-	1 : 5	4 : 2	0 : 6	1 : 5	2 : 4	2 : 4
AI1000	6 : 0	6 : 0	2 : 4	4 : 2	5 : 1	-	2 : 4	0 : 5	2 : 4	2 : 4	0 : 6
BRUTEFOR	6 : 0	4 : 2	4 : 2	3 : 3	2 : 4	4 : 2	-	1 : 5	3 : 3	3 : 3	1 : 5
BENJAMIN	6 : 0	5 : 1	6 : 0	5 : 1	6 : 0	5 : 0	5 : 1	-	0 : 5	1 : 5	0 : 6
CURNPIS	6 : 0	5 : 1	3 : 3	4 : 2	5 : 1	4 : 2	3 : 3	5 : 0	-	2 : 4	1 : 5
BRAIN-CRUSHER2010	6 : 0	6 : 0	6 : 0	4 : 2	4 : 2	4 : 2	3 : 3	5 : 1	4 : 2	-	1 : 5
MUSHROOM	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	-
TOTAL	60 : 0	43 : 17	37 : 23	33 : 27	34 : 26	30 : 29	29 : 31	19 : 39	21 : 38	17 : 43	5 : 55
RATIO	-	2.529	1.609	1.222	1.308	1.034	0.935	0.487	0.553	0.395	0.091
POINTS	30	24	19	19	18	18	12	9	8	4	0
