-	YIXIN13	HEWER12	HGARDEN07	GORO2013	SWINE13	TITO2010	GMOTOR2011	PELA	SLOWRENJU	AMOEBA2010	KANEC	JUDE	QMENTAT6	PECUCHET	PISQ7	TRUNKAT	PUSKVOREC	NABAMOKU	AI1000	LEONARDO	VALKYRIE	BENJAMIN	CURNPIS	BRAIN-CRUSHER2010	PUREGM13	FIVEROW	MUSHROOM
YIXIN13	-	3 : 3	1 : 5	3 : 3	1 : 5	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HEWER12	3 : 3	-	2 : 4	2 : 4	1 : 5	3 : 3	2 : 4	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	5 : 1	4 : 2	-	2 : 4	3 : 3	3 : 3	1 : 5	2 : 4	1 : 5	1 : 5	2 : 4	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2013	3 : 3	4 : 2	4 : 2	-	3 : 3	3 : 3	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE13	5 : 1	5 : 1	3 : 3	3 : 3	-	2 : 4	3 : 3	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
TITO2010	4 : 2	3 : 3	3 : 3	3 : 3	4 : 2	-	2 : 4	3 : 3	2 : 4	1 : 5	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR2011	6 : 0	4 : 2	5 : 1	4 : 2	3 : 3	4 : 2	-	2 : 4	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	5 : 1	3 : 3	4 : 2	5 : 1	4 : 2	3 : 3	4 : 2	-	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SLOWRENJU	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	4 : 2	6 : 0	3 : 3	-	2 : 4	0 : 6	3 : 3	0 : 6	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
AMOEBA2010	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	5 : 1	6 : 0	4 : 2	-	2 : 4	1 : 5	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	4 : 2	-	2 : 4	1 : 5	0 : 6	3 : 3	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
JUDE	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	6 : 0	6 : 0	3 : 3	5 : 1	4 : 2	-	4 : 2	0 : 6	2 : 4	2 : 4	2 : 4	0 : 6	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6
QMENTAT6	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	5 : 1	2 : 4	-	3 : 3	1 : 5	2 : 4	1 : 5	3 : 3	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PECUCHET	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	5 : 1	6 : 0	4 : 2	5 : 1	6 : 0	6 : 0	3 : 3	-	4 : 2	1 : 5	2 : 4	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6
PISQ7	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	4 : 2	5 : 1	2 : 4	-	6 : 0	3 : 3	0 : 6	0 : 6	1 : 5	2 : 4	1 : 5	1 : 5	0 : 6	3 : 3	0 : 6	0 : 6
TRUNKAT	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	4 : 2	4 : 2	5 : 1	0 : 6	-	2 : 4	4 : 2	2 : 4	1 : 5	2 : 4	1 : 5	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6
PUSKVOREC	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	4 : 2	5 : 1	4 : 2	3 : 3	4 : 2	-	3 : 3	3 : 3	2 : 4	0 : 6	2 : 4	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6
NABAMOKU	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	4 : 2	5 : 1	6 : 0	3 : 3	5 : 1	6 : 0	2 : 4	3 : 3	-	1 : 5	3 : 3	2 : 4	4 : 2	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
AI1000	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	5 : 1	-	2 : 4	5 : 1	0 : 5	2 : 4	2 : 4	1 : 5	2 : 4	0 : 6
LEONARDO	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	5 : 1	4 : 2	3 : 3	4 : 2	-	1 : 5	0 : 6	3 : 3	0 : 6	0 : 6	2 : 4	0 : 6
VALKYRIE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	4 : 2	6 : 0	4 : 2	1 : 5	5 : 1	-	0 : 6	1 : 5	2 : 4	1 : 5	3 : 3	2 : 4
BENJAMIN	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	5 : 1	4 : 2	2 : 4	5 : 0	6 : 0	6 : 0	-	0 : 5	1 : 5	1 : 5	2 : 4	0 : 6
CURNPIS	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	6 : 0	6 : 0	5 : 1	4 : 2	3 : 3	5 : 1	5 : 0	-	2 : 4	1 : 5	0 : 6	1 : 5
BRAIN-CRUSHER2010	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	4 : 2	6 : 0	6 : 0	4 : 2	6 : 0	4 : 2	5 : 1	4 : 2	-	0 : 6	1 : 5	1 : 5
