-	YIXIN2014	RENJUSOLVER	HEWER2014	TITO2014	SWINE2014	HGARDEN07	GORO2014	PELA	GMOTOR11	SLOWRENJU2014
YIXIN2014	-	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6
RENJUSOLVER	5 : 1	-	1 : 5	2 : 4	2 : 4	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6
HEWER2014	5 : 1	5 : 1	-	2 : 4	2 : 4	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6
TITO2014	5 : 1	4 : 2	4 : 2	-	4 : 2	2 : 4	1 : 5	2 : 4	1 : 5	2 : 4
SWINE2014	6 : 0	4 : 2	4 : 2	2 : 4	-	3 : 3	3 : 3	1 : 5	1 : 5	0 : 6
HGARDEN07	6 : 0	4 : 2	4 : 2	4 : 2	3 : 3	-	2 : 4	1 : 5	2 : 4	2 : 4
GORO2014	5 : 1	4 : 2	4 : 2	5 : 1	3 : 3	4 : 2	-	2 : 4	2 : 4	2 : 4
PELA	6 : 0	6 : 0	6 : 0	4 : 2	5 : 1	5 : 1	4 : 2	-	2 : 4	2 : 4
GMOTOR11	6 : 0	5 : 1	5 : 1	5 : 1	5 : 1	4 : 2	4 : 2	4 : 2	-	2 : 4
SLOWRENJU2014	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	4 : 2	4 : 2	4 : 2	4 : 2	-
TOTAL	50 : 4	39 : 15	35 : 19	29 : 25	30 : 24	26 : 28	23 : 31	14 : 40	14 : 40	10 : 44
RATIO	12.500	2.600	1.842	1.160	1.250	0.929	0.742	0.350	0.350	0.227
POINTS	27	24	21	15	14	13	10	6	3	0
