-	GMOTOR11	PELA	SLOWRENJU2014	KANEC	HIGHFIVE	JUDE	AMOEBA10	ZETOR	QMENTAT6	PECUCHET	NOESIS	NABAMOKU
GMOTOR11	-	3 : 3	1 : 5	3 : 3	2 : 4	0 : 6	1 : 5	2 : 4	1 : 5	1 : 5	0 : 6	0 : 6
PELA	3 : 3	-	3 : 3	2 : 4	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6
SLOWRENJU2014	5 : 1	3 : 3	-	2 : 4	3 : 3	2 : 4	1 : 5	2 : 4	0 : 6	2 : 4	0 : 6	0 : 6
KANEC	3 : 3	4 : 2	4 : 2	-	2 : 4	2 : 4	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6
HIGHFIVE	4 : 2	3 : 3	3 : 3	4 : 2	-	0 : 6	2 : 4	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6
JUDE	6 : 0	5 : 1	4 : 2	4 : 2	6 : 0	-	4 : 2	2 : 4	3 : 3	1 : 5	2 : 4	0 : 6
AMOEBA10	5 : 1	6 : 0	5 : 1	5 : 1	4 : 2	2 : 4	-	5 : 1	3 : 3	1 : 5	3 : 3	1 : 5
ZETOR	4 : 2	6 : 0	4 : 2	6 : 0	6 : 0	4 : 2	1 : 5	-	2 : 4	3 : 3	2 : 4	3 : 3
QMENTAT6	5 : 1	6 : 0	6 : 0	6 : 0	6 : 0	3 : 3	3 : 3	4 : 2	-	2 : 4	4 : 2	1 : 5
PECUCHET	5 : 1	6 : 0	4 : 2	5 : 1	5 : 1	5 : 1	5 : 1	3 : 3	4 : 2	-	0 : 6	2 : 4
NOESIS	6 : 0	5 : 1	6 : 0	6 : 0	5 : 1	4 : 2	3 : 3	4 : 2	2 : 4	6 : 0	-	2 : 4
NABAMOKU	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	5 : 1	4 : 2	4 : 2	-
TOTAL	52 : 14	53 : 13	46 : 20	49 : 17	48 : 18	29 : 37	26 : 40	25 : 41	20 : 46	22 : 44	17 : 49	9 : 57
RATIO	3.714	4.077	2.300	2.882	2.667	0.784	0.650	0.610	0.435	0.500	0.347	0.158
POINTS	29	27	26	25	23	13	11	11	8	7	7	1
