-	HIGHFIVE	ZETOR	NABAMOKU	PUSKVOREC	PUREGM12	LICHT14	FAST-GOMOKU14	PISQ7	IMRO13	FIVEROW	PROLOG	BENJAMIN	VALKYRIE	CRUSHER10	MUSHROOM
HIGHFIVE	-	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
ZETOR	5 : 1	-	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	3 : 3	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
NABAMOKU	6 : 0	4 : 2	-	4 : 2	2 : 4	2 : 4	3 : 3	2 : 4	2 : 4	0 : 6	0 : 6	1 : 5	2 : 4	0 : 6	0 : 6
PUSKVOREC	5 : 1	5 : 1	2 : 4	-	1 : 5	5 : 1	3 : 3	2 : 4	2 : 4	3 : 3	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6
PUREGM12	6 : 0	6 : 0	4 : 2	5 : 1	-	1 : 5	2 : 4	4 : 2	1 : 5	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6
LICHT14	6 : 0	6 : 0	4 : 2	1 : 5	5 : 1	-	5 : 1	2 : 4	2 : 4	2 : 4	2 : 4	4 : 2	0 : 6	2 : 4	0 : 6
FAST-GOMOKU14	6 : 0	6 : 0	3 : 3	3 : 3	4 : 2	1 : 5	-	3 : 3	4 : 2	3 : 3	0 : 6	1 : 5	2 : 4	0 : 6	0 : 6
PISQ7	6 : 0	6 : 0	4 : 2	4 : 2	2 : 4	4 : 2	3 : 3	-	5 : 1	0 : 6	0 : 6	0 : 6	3 : 3	0 : 6	0 : 6
IMRO13	5 : 1	6 : 0	4 : 2	4 : 2	5 : 1	4 : 2	2 : 4	1 : 5	-	5 : 1	4 : 2	1 : 5	2 : 4	4 : 2	0 : 6
FIVEROW	6 : 0	3 : 3	6 : 0	3 : 3	6 : 0	4 : 2	3 : 3	6 : 0	1 : 5	-	5 : 1	2 : 4	3 : 3	4 : 2	1 : 5
PROLOG	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	2 : 4	1 : 5	-	6 : 0	3 : 3	2 : 4	0 : 6
BENJAMIN	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	2 : 4	5 : 1	6 : 0	5 : 1	4 : 2	0 : 6	-	5 : 1	0 : 6	0 : 6
VALKYRIE	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	4 : 2	3 : 3	3 : 3	1 : 5	-	2 : 4	2 : 4
CRUSHER10	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	6 : 0	2 : 4	2 : 4	4 : 2	6 : 0	4 : 2	-	0 : 6
MUSHROOM	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	5 : 1	6 : 0	6 : 0	4 : 2	6 : 0	-
TOTAL	81 : 3	73 : 11	56 : 28	55 : 29	54 : 30	43 : 41	48 : 36	47 : 37	37 : 47	31 : 53	24 : 60	30 : 54	28 : 56	20 : 64	3 : 81
RATIO	27.000	6.636	2.000	1.897	1.800	1.049	1.333	1.270	0.787	0.585	0.400	0.556	0.500	0.313	0.037
POINTS	42	37	31	29	27	24	22	20	15	13	13	12	12	9
