-	YIXIN2014	GORO2014	HEWER2014	TITO2014	SWINE2014	HGARDEN07	GMOTOR11	PELA	SLOWRENJU2014	KANEC	HIGHFIVE	AMOEBA10	ZETOR	LICHT14	JUDE	PECUCHET	QMENTAT6	PUSKVOREC	PUREGM12	PISQ7	NABAMOKU	FAST-GOMOKU14	VALKYRIE	BENJAMIN	PROLOG	FIVEROW	CRUSHER10	MUSHROOM
YIXIN2014	-	2 : 4	1 : 5	3 : 3	1 : 5	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GORO2014	4 : 2	-	2 : 4	1 : 5	3 : 3	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HEWER2014	5 : 1	4 : 2	-	1 : 5	1 : 5	3 : 3	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
TITO2014	3 : 3	5 : 1	5 : 1	-	1 : 5	2 : 4	1 : 5	0 : 6	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SWINE2014	5 : 1	3 : 3	5 : 1	5 : 1	-	1 : 5	3 : 3	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
HGARDEN07	5 : 1	5 : 1	3 : 3	4 : 2	5 : 1	-	3 : 3	3 : 3	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
GMOTOR11	6 : 0	6 : 0	4 : 2	5 : 1	3 : 3	3 : 3	-	3 : 3	3 : 3	1 : 5	1 : 5	2 : 4	1 : 5	1 : 5	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
PELA	5 : 1	6 : 0	6 : 0	6 : 0	4 : 2	3 : 3	3 : 3	-	1 : 5	4 : 2	2 : 4	0 : 6	0 : 6	0 : 6	1 : 5	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
SLOWRENJU2014	6 : 0	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	3 : 3	5 : 1	-	1 : 5	2 : 4	1 : 5	0 : 6	1 : 5	0 : 6	2 : 4	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6	0 : 6
KANEC	6 : 0	6 : 0	6 : 0	4 : 2	6 : 0	5 : 1	5 : 1	2 : 4	5 : 1	-	3 : 3	1 : 5	0 : 6	1 : 5	2 : 4	2 : 4	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
