-	TITO2014	YIXIN2014	HEWER2014	GMOTOR11	SLOWRENJU2014	PELA	ZETOR	VALKYRIE
TITO2014	-	3 : 3	2 : 4	0 : 6	1 : 5	0 : 6	0 : 6	0 : 6
YIXIN2014	3 : 3	-	2 : 4	1 : 5	0 : 6	0 : 6	0 : 6	0 : 6
HEWER2014	4 : 2	4 : 2	-	0 : 5	1 : 5	0 : 6	0 : 6	0 : 6
GMOTOR11	6 : 0	5 : 1	5 : 0	-	1 : 5	1 : 5	1 : 5	0 : 6
SLOWRENJU2014	5 : 1	6 : 0	5 : 1	5 : 1	-	3 : 3	1 : 5	0 : 6
PELA	6 : 0	6 : 0	6 : 0	5 : 1	3 : 3	-	1 : 5	0 : 6
ZETOR	6 : 0	6 : 0	6 : 0	5 : 1	5 : 1	5 : 1	-	0 : 6
VALKYRIE	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	6 : 0	-
TOTAL	36 : 6	36 : 6	32 : 9	22 : 19	17 : 25	15 : 27	9 : 33	0 : 42
RATIO	6.000	6.000	3.556	1.158	0.680	0.556	0.273	0.000
POINTS	19	19	15	12	7	7	3	0
