-	YIXIN15	RENJUSOLVER	TITO2014	GORO15	SWINE15	HGARDEN07	HEWER15	ACEPELA15	GMOTOR2011	SLOWRENJU15	PELA	HIGHFIVE
YIXIN15	-	2 : 6	1 : 7	2 : 6	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
RENJUSOLVER	6 : 2	-	5 : 3	3 : 5	2 : 6	2 : 6	4 : 4	1 : 7	1 : 7	0 : 8	1 : 7	0 : 8
TITO2014	7 : 1	3 : 5	-	8 : 0	4 : 4	3 : 5	3 : 5	0 : 8	2 : 6	3 : 5	1 : 7	0 : 8
GORO15	6 : 2	5 : 3	0 : 8	-	5 : 3	2 : 6	3 : 5	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7
SWINE15	8 : 0	6 : 2	4 : 4	3 : 5	-	3 : 5	3 : 5	4 : 4	2 : 6	0 : 8	2 : 6	1 : 7
HGARDEN07	8 : 0	6 : 2	5 : 3	6 : 2	5 : 3	-	3 : 5	2 : 6	2 : 6	0 : 8	0 : 8	0 : 8
HEWER15	8 : 0	4 : 4	5 : 3	5 : 3	5 : 3	5 : 3	-	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7
ACEPELA15	8 : 0	7 : 1	8 : 0	8 : 0	4 : 4	6 : 2	8 : 0	-	4 : 4	2 : 6	1 : 7	1 : 7
GMOTOR2011	8 : 0	7 : 1	6 : 2	8 : 0	6 : 2	6 : 2	8 : 0	4 : 4	-	2 : 6	2 : 6	1 : 7
SLOWRENJU15	8 : 0	8 : 0	5 : 3	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	6 : 2	-	4 : 4	3 : 5
PELA	8 : 0	7 : 1	7 : 1	8 : 0	6 : 2	8 : 0	8 : 0	7 : 1	6 : 2	4 : 4	-	3 : 5
HIGHFIVE	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	8 : 0	7 : 1	7 : 1	7 : 1	5 : 3	5 : 3	-
TOTAL	83 : 5	63 : 25	54 : 34	66 : 22	52 : 36	51 : 37	55 : 33	31 : 57	30 : 58	16 : 72	16 : 72	11 : 77
RATIO	16.600	2.520	1.588	3.000	1.444	1.378	1.667	0.544	0.517	0.222	0.222	0.143
POINTS	33	25	25	24	23	18	16	11	10	4	4	0
