-	ACEPELA15	SLOWRENJU15	HIGHFIVE	KANEC09	AMOEBA10	ZETOR15	JUDE	PECUCHET	QMENTAT6	NOESIS	PISQ7	NABAMOKU	PUSKVOREC
ACEPELA15	-	2 : 6	1 : 7	2 : 6	1 : 7	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
SLOWRENJU15	6 : 2	-	1 : 7	2 : 6	3 : 5	3 : 5	2 : 6	3 : 5	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
HIGHFIVE	7 : 1	7 : 1	-	2 : 6	4 : 4	3 : 5	1 : 7	2 : 6	0 : 8	1 : 7	0 : 8	1 : 7	0 : 8
KANEC09	6 : 2	6 : 2	6 : 2	-	3 : 5	3 : 5	2 : 6	1 : 7	1 : 7	2 : 6	3 : 5	1 : 7	1 : 7
AMOEBA10	7 : 1	5 : 3	4 : 4	5 : 3	-	4 : 4	2 : 6	1 : 7	2 : 6	1 : 7	1 : 7	0 : 8	1 : 7
ZETOR15	7 : 1	5 : 3	5 : 3	5 : 3	4 : 4	-	4 : 4	1 : 7	2 : 6	0 : 8	0 : 8	1 : 7	1 : 7
JUDE	8 : 0	6 : 2	7 : 1	6 : 2	6 : 2	4 : 4	-	1 : 7	1 : 7	0 : 8	2 : 6	0 : 8	2 : 6
PECUCHET	8 : 0	5 : 3	6 : 2	7 : 1	7 : 1	7 : 1	7 : 1	-	3 : 5	3 : 5	3 : 5	3 : 5	4 : 4
QMENTAT6	8 : 0	8 : 0	8 : 0	7 : 1	6 : 2	6 : 2	7 : 1	5 : 3	-	7 : 1	2 : 6	3 : 5	2 : 6
NOESIS	8 : 0	8 : 0	7 : 1	6 : 2	7 : 1	8 : 0	8 : 0	5 : 3	1 : 7	-	5 : 3	4 : 4	2 : 6
PISQ7	8 : 0	8 : 0	8 : 0	5 : 3	7 : 1	8 : 0	6 : 2	5 : 3	6 : 2	3 : 5	-	1 : 7	5 : 3
NABAMOKU	8 : 0	8 : 0	7 : 1	7 : 1	8 : 0	7 : 1	8 : 0	5 : 3	5 : 3	4 : 4	7 : 1	-	1 : 7
PUSKVOREC	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	7 : 1	6 : 2	4 : 4	6 : 2	6 : 2	3 : 5	7 : 1	-
TOTAL	89 : 7	76 : 20	68 : 28	61 : 35	63 : 33	61 : 35	53 : 43	33 : 63	27 : 69	27 : 69	26 : 70	21 : 75	19 : 77
RATIO	12.714	3.800	2.429	1.743	1.909	1.743	1.233	0.524	0.391	0.391	0.371	0.280	0.247
POINTS	36	33	28	27	23	20	19	13	9	7	6	4	4
