-	ACEPELA15	PUSKVOREC	PISQ7	IMRO15	PUREGM13	VALKYRIE	BENJAMIN	LICHT14	XOXO15	CRUSHER10	FASTGOMOKU15	PROLOG	FIVEROW	MUSHROOM
ACEPELA15	-	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
PUSKVOREC	8 : 0	-	3 : 5	3 : 5	5 : 3	1 : 7	3 : 5	2 : 6	1 : 7	0 : 8	1 : 7	1 : 7	2 : 6	0 : 8
PISQ7	8 : 0	5 : 3	-	4 : 4	2 : 6	4 : 4	2 : 6	4 : 4	1 : 7	0 : 8	1 : 7	3 : 5	0 : 8	0 : 8
IMRO15	8 : 0	5 : 3	4 : 4	-	4 : 4	5 : 3	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8
PUREGM13	8 : 0	3 : 5	6 : 2	4 : 4	-	5 : 3	3 : 5	4 : 4	0 : 8	0 : 8	1 : 7	0 : 8	3 : 5	0 : 8
VALKYRIE	7 : 1	7 : 1	4 : 4	3 : 5	3 : 5	-	0 : 8	7 : 1	4 : 4	4 : 4	4 : 4	0 : 8	3 : 5	3 : 5
BENJAMIN	8 : 0	5 : 3	6 : 2	8 : 0	5 : 3	8 : 0	-	2 : 6	1 : 7	1 : 7	1 : 6	0 : 8	5 : 3	1 : 7
LICHT14	8 : 0	6 : 2	4 : 4	7 : 1	4 : 4	1 : 7	6 : 2	-	5 : 3	3 : 5	8 : 0	3 : 5	2 : 6	1 : 7
XOXO15	8 : 0	7 : 1	7 : 1	8 : 0	8 : 0	4 : 4	7 : 1	3 : 5	-	5 : 3	0 : 8	2 : 6	2 : 6	2 : 6
CRUSHER10	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	4 : 4	7 : 1	5 : 3	3 : 5	-	1 : 7	3 : 5	1 : 7	1 : 7
FASTGOMOKU15	8 : 0	7 : 1	7 : 1	8 : 0	7 : 1	4 : 4	6 : 1	0 : 8	8 : 0	7 : 1	-	5 : 3	3 : 5	0 : 8
PROLOG	8 : 0	7 : 1	5 : 3	7 : 1	8 : 0	8 : 0	8 : 0	5 : 3	6 : 2	5 : 3	3 : 5	-	1 : 7	1 : 7
FIVEROW	8 : 0	6 : 2	8 : 0	8 : 0	5 : 3	5 : 3	3 : 5	6 : 2	6 : 2	7 : 1	5 : 3	7 : 1	-	4 : 4
MUSHROOM	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	5 : 3	7 : 1	7 : 1	6 : 2	7 : 1	8 : 0	7 : 1	4 : 4	-
TOTAL	103 : 1	74 : 30	70 : 34	76 : 28	67 : 37	55 : 49	52 : 51	46 : 58	41 : 63	39 : 65	33 : 70	32 : 72	26 : 78	13 : 91
RATIO	103.000	2.467	2.059	2.714	1.811	1.122	1.020	0.793	0.651	0.600	0.471	0.444	0.333	0.143
POINTS	39	33	27	26	26	22	18	17	16	16	10	9	4
