-	YIXIN15	GORO15	HEWER15	TITO2014	HGARDEN07	SWINE15	ACEPELA15	GMOTOR2011	PELA	SLOWRENJU15	KANEC09	LICHT14	AMOEBA10	ZETOR15	JUDE	PECUCHET	QMENTAT6	IMRO15	PUSKVOREC	NABAMOKU	PISQ7	VALKYRIE	BENJAMIN	CRUSHER10	XOXO15	PROLOG	FASTGOMOKU15	PUREGM13	FIVEROW	MUSHROOM
YIXIN15	-	2 : 6	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
GORO15	6 : 2	-	1 : 7	3 : 5	1 : 7	0 : 8	0 : 8	2 : 6	2 : 6	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
HEWER15	8 : 0	7 : 1	-	4 : 4	3 : 5	1 : 7	1 : 7	4 : 4	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
TITO2014	7 : 1	5 : 3	4 : 4	-	5 : 3	2 : 6	1 : 7	1 : 7	2 : 6	0 : 8	1 : 7	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8
HGARDEN07	8 : 0	7 : 1	5 : 3	3 : 5	-	2 : 6	5 : 3	2 : 6	3 : 5	0 : 8	1 : 7	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
SWINE15	8 : 0	8 : 0	7 : 1	6 : 2	6 : 2	-	3 : 5	3 : 5	4 : 4	0 : 8	1 : 7	1 : 7	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
ACEPELA15	8 : 0	8 : 0	7 : 1	7 : 1	3 : 5	5 : 3	-	6 : 2	3 : 5	0 : 8	2 : 6	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
GMOTOR2011	8 : 0	6 : 2	4 : 4	7 : 1	6 : 2	5 : 3	2 : 6	-	4 : 4	1 : 7	3 : 5	1 : 7	2 : 6	0 : 8	1 : 7	0 : 8	0 : 8	1 : 7	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
PELA	8 : 0	6 : 2	7 : 1	6 : 2	5 : 3	4 : 4	5 : 3	4 : 4	-	6 : 2	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8
SLOWRENJU15	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	2 : 6	-	3 : 5	5 : 3	3 : 5	1 : 7	3 : 5	3 : 5	0 : 8	0 : 8	0 : 8	3 : 5	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8
KANEC09	8 : 0	7 : 1	8 : 0	7 : 1	7 : 1	7 : 1	6 : 2	5 : 3	7 : 1	5 : 3	-	4 : 4	1 : 7	1 : 7	2 : 6	2 : 6	1 : 7	2 : 6	2 : 6	0 : 8	3 : 5	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
LICHT14	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	8 : 0	7 : 1	8 : 0	3 : 5	4 : 4	-	3 : 5	4 : 4	4 : 4	5 : 3	1 : 7	0 : 8	0 : 8	3 : 5	0 : 8	0 : 8	2 : 6	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
AMOEBA10	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	7 : 1	6 : 2	8 : 0	5 : 3	7 : 1	5 : 3	-	4 : 4	4 : 4	1 : 7	3 : 5	2 : 6	0 : 8	2 : 6	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8
ZETOR15	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	4 : 4	4 : 4	-	2 : 6	6 : 2	2 : 6	0 : 8	1 : 7	1 : 7	2 : 6	2 : 6	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
JUDE	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	5 : 3	6 : 2	4 : 4	4 : 4	6 : 2	-	2 : 6	2 : 6	8 : 0	2 : 6	1 : 7	2 : 6	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
PECUCHET	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	5 : 3	6 : 2	3 : 5	7 : 1	2 : 6	6 : 2	-	3 : 5	5 : 3	4 : 4	4 : 4	5 : 3	1 : 7	1 : 7	0 : 8	0 : 8	1 : 7	1 : 7	0 : 8	0 : 8	0 : 8
QMENTAT6	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	7 : 1	5 : 3	6 : 2	6 : 2	5 : 3	-	4 : 4	2 : 6	4 : 4	3 : 5	0 : 8	0 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
IMRO15	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	8 : 0	6 : 2	8 : 0	6 : 2	8 : 0	0 : 8	3 : 5	4 : 4	-	5 : 3	3 : 5	4 : 4	5 : 3	0 : 8	0 : 8	0 : 8	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8
PUSKVOREC	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	8 : 0	8 : 0	7 : 1	6 : 2	4 : 4	6 : 2	3 : 5	-	6 : 2	3 : 5	1 : 7	3 : 5	0 : 8	1 : 7	1 : 7	1 : 7	2 : 6	1 : 7	0 : 8
NABAMOKU	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	5 : 3	8 : 0	5 : 3	6 : 2	7 : 1	7 : 1	4 : 4	4 : 4	5 : 3	2 : 6	-	6 : 2	3 : 5	3 : 5	0 : 8	0 : 8	3 : 5	0 : 8	0 : 8	1 : 7	1 : 7
PISQ7	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	5 : 3	8 : 0	8 : 0	6 : 2	6 : 2	3 : 5	5 : 3	4 : 4	5 : 3	2 : 6	-	4 : 4	2 : 6	0 : 8	1 : 7	3 : 5	0 : 8	2 : 6	1 : 7	0 : 8
VALKYRIE	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	7 : 1	8 : 0	7 : 1	8 : 0	8 : 0	8 : 0	8 : 0	6 : 2	7 : 1	7 : 1	8 : 0	3 : 5	7 : 1	5 : 3	4 : 4	-	0 : 8	4 : 4	4 : 4	0 : 8	4 : 4	3 : 5	2 : 6	3 : 5
