-	yixin15	Tito2014	hewer15	gmotor2011	pela	acePela15	SlowRenju15	zetor15	valkyrie
yixin15	-	1 : 7	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8	0 : 8
Tito2014	7 : 1	-	3 : 5	1 : 7	1 : 7	0 : 8	0 : 8	0 : 8	0 : 8
hewer15	7 : 1	5 : 3	-	1 : 7	1 : 7	0 : 8	0 : 8	1 : 7	0 : 8
gmotor2011	8 : 0	7 : 1	7 : 1	-	4 : 4	3 : 4	4 : 4	2 : 6	0 : 8
pela	8 : 0	7 : 1	7 : 1	4 : 4	-	4 : 3	3 : 5	1 : 7	0 : 8
acePela15	8 : 0	8 : 0	8 : 0	4 : 3	3 : 4	-	4 : 4	1 : 7	0 : 8
SlowRenju15	8 : 0	8 : 0	8 : 0	4 : 4	5 : 3	4 : 4	-	1 : 7	0 : 8
zetor15	8 : 0	8 : 0	7 : 1	6 : 2	7 : 1	7 : 1	7 : 1	-	0 : 8
valkyrie	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	8 : 0	-
Total	62 : 2	52 : 12	49 : 15	28 : 35	29 : 34	26 : 36	26 : 38	14 : 50	0 : 64
Ratio	31.000	4.333	3.267	0.800	0.853	0.722	0.684	0.280	0.000
Points	24	21	18	11	10	10	8	3	0
