-	YIXIN16	RENJUSOLVER.F	SLOWRENJU16	TITO14	GORO16	HEWER15	ONIX16	SWINE15	HGARDEN07	CARBON	GMOTOR11	PELA16	CHIS	KANEC09
YIXIN16	-	4 : 8	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	2 : 10	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
RENJUSOLVER.F	8 : 4	-	7 : 5	5 : 7	4 : 8	3 : 9	3 : 9	3 : 9	3 : 9	4 : 8	2 : 10	1 : 11	2 : 10	1 : 11
SLOWRENJU16	12 : 0	5 : 7	-	8 : 4	7 : 5	5 : 7	5 : 7	3 : 9	5 : 7	2 : 10	0 : 12	0 : 12	1 : 11	0 : 12
TITO14	12 : 0	7 : 5	4 : 8	-	7 : 5	5 : 7	4 : 8	5 : 7	3 : 9	4 : 8	2 : 10	0 : 12	1 : 11	0 : 12
GORO16	12 : 0	8 : 4	5 : 7	5 : 7	-	7 : 5	6 : 6	2 : 10	3 : 9	2 : 10	1 : 11	0 : 12	0 : 12	0 : 12
HEWER15	11 : 1	9 : 3	7 : 5	7 : 5	5 : 7	-	4 : 8	4 : 8	2 : 10	5 : 7	2 : 10	0 : 12	0 : 12	0 : 12
ONIX16	12 : 0	9 : 3	7 : 5	8 : 4	6 : 6	8 : 4	-	5 : 7	2 : 10	4 : 8	0 : 12	0 : 12	1 : 11	0 : 12
SWINE15	10 : 2	9 : 3	9 : 3	7 : 5	10 : 2	8 : 4	7 : 5	-	4 : 8	6 : 6	3 : 9	4 : 8	0 : 12	0 : 12
HGARDEN07	11 : 1	9 : 3	7 : 5	9 : 3	9 : 3	10 : 2	10 : 2	8 : 4	-	5 : 7	2 : 10	3 : 9	0 : 12	0 : 12
CARBON	12 : 0	8 : 4	10 : 2	8 : 4	10 : 2	7 : 5	8 : 4	6 : 6	7 : 5	-	3 : 9	1 : 11	2 : 10	2 : 10
GMOTOR11	12 : 0	10 : 2	12 : 0	10 : 2	11 : 1	10 : 2	12 : 0	9 : 3	10 : 2	9 : 3	-	3 : 9	4 : 8	4 : 8
PELA16	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	8 : 4	9 : 3	11 : 1	9 : 3	-	1 : 11	4 : 8
CHIS	12 : 0	10 : 2	11 : 1	11 : 1	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	10 : 2	8 : 4	11 : 1	-	4 : 8
KANEC09	12 : 0	11 : 1	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	10 : 2	8 : 4	8 : 4	8 : 4	-
Total	148 : 8	110 : 46	103 : 53	102 : 54	105 : 51	100 : 56	94 : 62	79 : 77	73 : 83	72 : 84	40 : 116	31 : 125	20 : 136	15 : 141
Ratio	18.500	2.391	1.943	1.889	2.059	1.786	1.516	1.026	0.880	0.857	0.345	0.248	0.147	0.106
Points	39	33	30	30	28	27	22	16	15	13	9	6	3	0
