-	CARBON	ONIX16	CHIS	KANEC09	ZETOR16	JUDE	EULRING	PECUCHET	XOXO16	NOESIS	IGNITOR	QMENTAT6	NABAMOKU08	PUSKVOREC	IMRO15	FASTGOMOKU14	PISQ7
CARBON	-	4 : 8	0 : 12	1 : 11	0 : 12	0 : 12	1 : 11	1 : 11	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
ONIX16	8 : 4	-	2 : 10	1 : 11	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
CHIS	12 : 0	10 : 2	-	6 : 6	5 : 7	3 : 9	4 : 8	2 : 10	3 : 9	2 : 10	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	1 : 11	1 : 11
KANEC09	11 : 1	11 : 1	6 : 6	-	4 : 8	0 : 12	4 : 8	2 : 10	4 : 8	0 : 12	0 : 12	2 : 10	3 : 9	0 : 12	4 : 8	3 : 9	0 : 12
ZETOR16	12 : 0	12 : 0	7 : 5	8 : 4	-	3 : 9	4 : 8	3 : 9	1 : 11	4 : 8	1 : 11	0 : 12	0 : 12	2 : 10	0 : 12	1 : 11	1 : 11
JUDE	12 : 0	12 : 0	9 : 3	12 : 0	9 : 3	-	4 : 8	5 : 7	3 : 9	4 : 8	3 : 9	6 : 6	2 : 10	4 : 8	3 : 9	0 : 12	5 : 7
EULRING	11 : 1	12 : 0	8 : 4	8 : 4	8 : 4	8 : 4	-	4 : 8	4 : 8	2 : 10	2 : 10	1 : 11	2 : 10	0 : 12	2 : 10	1 : 11	1 : 11
PECUCHET	11 : 1	11 : 1	10 : 2	10 : 2	9 : 3	7 : 5	8 : 4	-	4 : 8	2 : 10	6 : 6	5 : 7	5 : 7	2 : 10	7 : 5	4 : 8	4 : 8
XOXO16	12 : 0	12 : 0	9 : 3	8 : 4	11 : 1	9 : 3	8 : 4	8 : 4	-	8 : 4	6 : 6	3 : 9	3 : 9	4 : 8	1 : 11	1 : 11	2 : 10
NOESIS	12 : 0	12 : 0	10 : 2	12 : 0	8 : 4	8 : 4	10 : 2	10 : 2	4 : 8	-	5 : 7	5 : 7	7 : 5	6 : 6	4 : 8	3 : 9	2 : 10
IGNITOR	11 : 1	12 : 0	12 : 0	12 : 0	11 : 1	9 : 3	10 : 2	6 : 6	6 : 6	7 : 5	-	6 : 6	4 : 8	4 : 8	4 : 8	2 : 10	4 : 8
QMENTAT6	12 : 0	12 : 0	11 : 1	10 : 2	12 : 0	6 : 6	11 : 1	7 : 5	9 : 3	7 : 5	6 : 6	-	4 : 8	3 : 9	4 : 7	0 : 9	3 : 9
NABAMOKU08	12 : 0	12 : 0	12 : 0	9 : 3	12 : 0	10 : 2	10 : 2	7 : 5	9 : 3	5 : 7	8 : 4	8 : 4	-	8 : 4	5 : 7	5 : 7	3 : 9
PUSKVOREC	12 : 0	12 : 0	12 : 0	12 : 0	10 : 2	8 : 4	12 : 0	10 : 2	8 : 4	6 : 6	8 : 4	9 : 3	4 : 8	-	3 : 9	4 : 8	6 : 6
IMRO15	12 : 0	12 : 0	12 : 0	8 : 4	12 : 0	9 : 3	10 : 2	5 : 7	11 : 1	8 : 4	8 : 4	7 : 4	7 : 5	9 : 3	-	4 : 6	5 : 7
FASTGOMOKU14	12 : 0	12 : 0	11 : 1	9 : 3	11 : 1	12 : 0	11 : 1	8 : 4	11 : 1	9 : 3	10 : 2	9 : 0	7 : 5	8 : 4	6 : 4	-	3 : 9
PISQ7	12 : 0	12 : 0	11 : 1	12 : 0	11 : 1	7 : 5	11 : 1	8 : 4	10 : 2	10 : 2	8 : 4	9 : 3	9 : 3	6 : 6	7 : 5	9 : 3	-
Total	184 : 8	180 : 12	142 : 50	138 : 54	133 : 59	99 : 93	118 : 74	87 : 105	87 : 105	74 : 118	72 : 120	71 : 117	57 : 135	56 : 136	50 : 139	38 : 149	40 : 152
Ratio	23.000	15.000	2.840	2.556	2.254	1.065	1.595	0.829	0.829	0.627	0.600	0.607	0.422	0.412	0.360	0.255	0.263
Points	48	45	40	40	36	31	30	22	19	19	18	17	12	11	9	3	1
