-	CARBON	ONIX16	CHIS	EULRING	XOXO16	IGNITOR	FASTGOMOKU14	BENJAMIN	VALKYRIE	STAHLFAUST	LICHT	FIVEROW	CRUSHER	PUREROCKY	PROLOG	MUSHROOM
CARBON	-	4 : 8	0 : 12	1 : 11	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
ONIX16	8 : 4	-	2 : 10	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
CHIS	12 : 0	10 : 2	-	4 : 8	3 : 9	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
EULRING	11 : 1	12 : 0	8 : 4	-	5 : 7	4 : 8	0 : 12	1 : 11	2 : 10	0 : 12	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12
XOXO16	12 : 0	12 : 0	9 : 3	7 : 5	-	5 : 7	1 : 11	1 : 11	2 : 10	1 : 11	2 : 10	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12
IGNITOR	11 : 1	12 : 0	12 : 0	8 : 4	7 : 5	-	2 : 10	1 : 10	2 : 10	1 : 11	2 : 10	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12
FASTGOMOKU14	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	10 : 2	-	0 : 7	5 : 7	2 : 10	7 : 5	7 : 5	0 : 12	4 : 8	2 : 10	0 : 12
BENJAMIN	12 : 0	12 : 0	12 : 0	11 : 1	11 : 1	10 : 1	7 : 0	-	11 : 1	4 : 8	2 : 10	3 : 9	1 : 10	2 : 7	0 : 12	0 : 12
VALKYRIE	12 : 0	12 : 0	12 : 0	10 : 2	10 : 2	10 : 2	7 : 5	1 : 11	-	8 : 4	9 : 3	4 : 8	4 : 8	2 : 10	2 : 10	0 : 12
STAHLFAUST	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	11 : 1	10 : 2	8 : 4	4 : 8	-	4 : 8	7 : 5	2 : 10	4 : 8	1 : 11	0 : 12
LICHT	12 : 0	12 : 0	11 : 1	11 : 1	10 : 2	10 : 2	5 : 7	10 : 2	3 : 9	8 : 4	-	3 : 9	8 : 4	6 : 6	4 : 8	0 : 12
FIVEROW	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	12 : 0	5 : 7	9 : 3	8 : 4	5 : 7	9 : 3	-	6 : 6	4 : 8	5 : 7	4 : 8
CRUSHER	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	10 : 1	8 : 4	10 : 2	4 : 8	6 : 6	-	6 : 6	5 : 7	0 : 12
PUREROCKY	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	8 : 4	7 : 2	10 : 2	8 : 4	6 : 6	8 : 4	6 : 6	-	2 : 10	3 : 9
PROLOG	12 : 0	12 : 0	12 : 0	12 : 0	11 : 1	12 : 0	10 : 2	12 : 0	10 : 2	11 : 1	8 : 4	7 : 5	7 : 5	10 : 2	-	1 : 11
MUSHROOM	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	8 : 4	12 : 0	9 : 3	11 : 1	-
Total	174 : 6	170 : 10	150 : 30	135 : 45	127 : 53	120 : 59	79 : 96	72 : 98	77 : 103	70 : 110	67 : 113	54 : 126	46 : 133	48 : 129	33 : 147	8 : 172
Ratio	29.000	17.000	5.000	3.000	2.396	2.034	0.823	0.735	0.748	0.636	0.593	0.429	0.346	0.372	0.224	0.047
Points	45	42	39	36	33	30	21	21	18	18	16	16	11	8	3	0
