-	YIXIN16	GORO16	SLOWRENJU16	HEWER15	TITO14	SWINE15	CARBON	HGARDEN07	GMOTOR11	PELA16	CHIS	KANEC09	ZETOR16	EULRING	JUDE	LICHT	PECUCHET	NOESIS	IGNITOR	XOXO16	QMENTAT6	PUSKVOREC	IMRO15	PISQ7	FASTGOMOKU14	VALKYRIE	BENJAMIN	STAHLFAUST	FIVEROW	PUREROCKY	CRUSHER	PROLOG	MUSHROOM
YIXIN16	-	5 : 7	0 : 12	3 : 9	1 : 11	3 : 9	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
GORO16	7 : 5	-	1 : 11	3 : 9	3 : 9	3 : 9	1 : 11	3 : 9	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
SLOWRENJU16	12 : 0	11 : 1	-	5 : 7	6 : 6	3 : 9	4 : 8	6 : 6	4 : 8	2 : 10	2 : 10	4 : 8	1 : 11	0 : 12	1 : 11	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
HEWER15	9 : 3	9 : 3	7 : 5	-	6 : 6	3 : 9	2 : 10	3 : 9	1 : 11	2 : 10	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
TITO14	11 : 1	9 : 3	6 : 6	6 : 6	-	7 : 5	1 : 11	1 : 11	0 : 12	2 : 10	2 : 10	1 : 11	1 : 11	1 : 11	1 : 11	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
SWINE15	9 : 3	9 : 3	9 : 3	9 : 3	5 : 7	-	8 : 4	4 : 8	2 : 10	3 : 9	3 : 9	2 : 10	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
CARBON	11 : 1	11 : 1	8 : 4	10 : 2	11 : 1	4 : 8	-	5 : 7	1 : 11	2 : 10	1 : 11	1 : 11	0 : 12	2 : 10	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
HGARDEN07	11 : 1	9 : 3	6 : 6	9 : 3	11 : 1	8 : 4	7 : 5	-	4 : 8	3 : 9	3 : 9	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
GMOTOR11	12 : 0	11 : 1	8 : 4	11 : 1	12 : 0	10 : 2	11 : 1	8 : 4	-	5 : 7	2 : 10	2 : 10	3 : 9	1 : 11	1 : 11	3 : 9	1 : 11	0 : 12	2 : 10	0 : 12	0 : 12	2 : 10	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12
PELA16	12 : 0	11 : 1	10 : 2	10 : 2	10 : 2	9 : 3	10 : 2	9 : 3	7 : 5	-	4 : 8	3 : 9	1 : 11	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	1 : 11	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12	1 : 11
