-	YIXIN16	RENJUSOLVER.S	TITO14	SLOWRENJU16	HEWER15	CARBON	GMOTOR11	PELA16	ZETOR16	VALKYRIE
YIXIN16	-	3 : 7	2 : 10	1 : 11	2 : 10	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
RENJUSOLVER.S	7 : 3	-	5 : 7	4 : 7	3 : 8	2 : 10	1 : 11	1 : 10	0 : 12	0 : 12
TITO14	10 : 2	7 : 5	-	5 : 5	5 : 6	0 : 12	0 : 12	0 : 12	0 : 12	0 : 12
SLOWRENJU16	11 : 1	7 : 4	5 : 5	-	5 : 6	2 : 10	0 : 11	2 : 9	0 : 12	0 : 12
HEWER15	10 : 2	8 : 3	6 : 5	6 : 5	-	0 : 12	0 : 10	0 : 12	0 : 12	0 : 12
CARBON	12 : 0	10 : 2	12 : 0	10 : 2	12 : 0	-	2 : 9	5 : 7	5 : 7	0 : 12
GMOTOR11	12 : 0	11 : 1	12 : 0	11 : 0	10 : 0	9 : 2	-	3 : 7	3 : 9	0 : 12
PELA16	12 : 0	10 : 1	12 : 0	9 : 2	12 : 0	7 : 5	7 : 3	-	3 : 9	0 : 12
ZETOR16	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	7 : 5	9 : 3	9 : 3	-	0 : 12
VALKYRIE	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	12 : 0	-
Total	98 : 8	80 : 23	78 : 27	70 : 32	73 : 30	39 : 68	31 : 71	32 : 72	23 : 85	0 : 108
Ratio	12.250	3.478	2.889	2.188	2.433	0.574	0.437	0.444	0.271	0.000
Points	27	24	19	19	15	12	9	6	3	0
