-	YIXIN17	RENJUSOLVER.F	GORO17	SLOWRENJU17	TITO14	HEWER15	ONIX16	SWINE17	CARBON17	WINE	EMBRYO	WHOSE	PELA17	GMOTOR11	CHIS17	ZETOR17
YIXIN17	-	21 : 3	23 : 1	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
RENJUSOLVER.F	3 : 21	-	12 : 12	17 : 7	13 : 11	16 : 8	16 : 8	17 : 7	15 : 9	19 : 5	21 : 3	22 : 2	22 : 2	23 : 1	24 : 0	23 : 1
GORO17	1 : 23	12 : 12	-	13 : 11	17 : 7	14 : 10	17 : 7	18 : 6	18 : 6	18 : 6	22 : 2	21 : 3	22 : 2	22 : 2	20 : 4	24 : 0
SLOWRENJU17	0 : 24	7 : 17	11 : 13	-	12 : 12	17 : 7	9 : 15	14 : 10	14 : 10	18 : 6	18 : 6	21 : 3	24 : 0	24 : 0	24 : 0	23 : 1
TITO14	1 : 23	11 : 13	7 : 17	12 : 12	-	17 : 7	19 : 5	15 : 9	15 : 9	19 : 5	15 : 9	17 : 7	23 : 1	20 : 4	18 : 6	22 : 2
HEWER15	1 : 23	8 : 16	10 : 14	7 : 17	7 : 17	-	13 : 11	14 : 10	14 : 10	21 : 3	17 : 7	22 : 2	22 : 2	22 : 2	23 : 1	21 : 3
ONIX16	1 : 23	8 : 16	7 : 17	15 : 9	5 : 19	11 : 13	-	16 : 8	15 : 9	16 : 8	16 : 8	18 : 6	22 : 2	21 : 3	21 : 3	22 : 2
SWINE17	0 : 24	7 : 17	6 : 18	10 : 14	9 : 15	10 : 14	8 : 16	-	16 : 8	15 : 9	16 : 8	23 : 1	21 : 3	21 : 3	22 : 2	22 : 2
CARBON17	1 : 23	9 : 15	6 : 18	10 : 14	9 : 15	10 : 14	9 : 15	8 : 16	-	14 : 10	16 : 8	20 : 4	22 : 2	23 : 1	21 : 3	21 : 3
WINE	0 : 24	5 : 19	6 : 18	6 : 18	5 : 19	3 : 21	8 : 16	9 : 15	10 : 14	-	14 : 10	14 : 10	19 : 5	21 : 3	23 : 1	21 : 3
EMBRYO	1 : 23	3 : 21	2 : 22	6 : 18	9 : 15	7 : 17	8 : 16	8 : 16	8 : 16	10 : 14	-	13 : 11	14 : 10	16 : 8	15 : 9	16 : 8
WHOSE	0 : 24	2 : 22	3 : 21	3 : 21	7 : 17	2 : 22	6 : 18	1 : 23	4 : 20	10 : 14	11 : 13	-	9 : 15	13 : 11	18 : 6	13 : 11
PELA17	0 : 24	2 : 22	2 : 22	0 : 24	1 : 23	2 : 22	2 : 22	3 : 21	2 : 22	5 : 19	10 : 14	15 : 9	-	8 : 16	17 : 7	18 : 6
GMOTOR11	0 : 24	1 : 23	2 : 22	0 : 24	4 : 20	2 : 22	3 : 21	3 : 21	1 : 23	3 : 21	8 : 16	11 : 13	16 : 8	-	13 : 11	15 : 9
CHIS17	0 : 24	0 : 24	4 : 20	0 : 24	6 : 18	1 : 23	3 : 21	2 : 22	3 : 21	1 : 23	9 : 15	6 : 18	7 : 17	11 : 13	-	14 : 10
ZETOR17	0 : 24	1 : 23	0 : 24	1 : 23	2 : 22	3 : 21	2 : 22	2 : 22	3 : 21	3 : 21	8 : 16	11 : 13	6 : 18	9 : 15	10 : 14	-
