-	WINE	WHOSE	EMBRYO	ZETOR17	KANEC09	XOXO17	EULRING	JUDE	PECUCHET	SPARKLE	QMENTAT6	PUSKVOREC	NOESIS	IMRO15	FASTGOMOKU14	PISQ7
WINE	-	14 : 10	10 : 14	18 : 6	18 : 6	21 : 3	22 : 2	23 : 1	21 : 3	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WHOSE	10 : 14	-	10 : 14	19 : 5	19 : 5	16 : 8	21 : 3	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
EMBRYO	14 : 10	14 : 10	-	15 : 9	17 : 7	16 : 8	22 : 2	21 : 3	18 : 6	23 : 1	22 : 2	24 : 0	22 : 2	23 : 1	24 : 0	23 : 1
ZETOR17	6 : 18	5 : 19	9 : 15	-	7 : 17	15 : 9	21 : 3	22 : 2	17 : 7	17 : 7	20 : 4	22 : 2	23 : 1	23 : 1	24 : 0	24 : 0
KANEC09	6 : 18	5 : 19	7 : 17	17 : 7	-	12 : 12	17 : 7	16 : 8	19 : 5	22 : 2	24 : 0	22 : 2	20 : 4	20 : 4	22 : 2	23 : 1
XOXO17	3 : 21	8 : 16	8 : 16	9 : 15	12 : 12	-	18 : 6	17 : 7	18 : 6	22 : 2	22 : 2	21 : 3	21 : 3	24 : 0	23 : 1	24 : 0
EULRING	2 : 22	3 : 21	2 : 22	3 : 21	7 : 17	6 : 18	-	13 : 11	18 : 6	15 : 9	17 : 7	21 : 3	22 : 2	19 : 5	22 : 2	24 : 0
JUDE	1 : 23	2 : 22	3 : 21	2 : 22	8 : 16	7 : 17	11 : 13	-	12 : 12	15 : 9	15 : 9	20 : 4	19 : 5	20 : 4	19 : 5	19 : 5
PECUCHET	3 : 21	0 : 24	6 : 18	7 : 17	5 : 19	6 : 18	6 : 18	12 : 12	-	13 : 11	18 : 6	17 : 7	20 : 4	17 : 7	17 : 7	16 : 8
SPARKLE	3 : 21	0 : 24	1 : 23	7 : 17	2 : 22	2 : 22	9 : 15	9 : 15	11 : 13	-	13 : 11	22 : 2	16 : 8	18 : 5	21 : 3	19 : 5
QMENTAT6	0 : 24	0 : 24	2 : 22	4 : 20	0 : 24	2 : 22	7 : 17	9 : 15	6 : 18	11 : 13	-	15 : 9	11 : 9	16 : 8	18 : 6	20 : 4
PUSKVOREC	0 : 24	0 : 24	0 : 24	2 : 22	2 : 22	3 : 21	3 : 21	4 : 20	7 : 17	2 : 22	9 : 15	-	11 : 13	19 : 5	14 : 10	17 : 7
NOESIS	0 : 24	0 : 24	2 : 22	1 : 23	4 : 20	3 : 21	2 : 22	5 : 19	4 : 20	8 : 16	9 : 11	13 : 11	-	12 : 11	11 : 6	11 : 12
IMRO15	0 : 24	0 : 24	1 : 23	1 : 23	4 : 20	0 : 24	5 : 19	4 : 20	7 : 17	5 : 18	8 : 16	5 : 19	11 : 12	-	16 : 7	10 : 14
FASTGOMOKU14	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	1 : 23	2 : 22	5 : 19	7 : 17	3 : 21	6 : 18	10 : 14	6 : 11	7 : 16	-	15 : 9
PISQ7	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	0 : 24	5 : 19	8 : 16	5 : 19	4 : 20	7 : 17	12 : 11	14 : 10	9 : 15	-
