-	EMBRYO	WINE	WHOSE	PISQ7	DJALL	LICHT	STAHLFAUST	PUREROCKY	VALKYRIE	CRUSHER	FIVEROW	PROLOG	MUSHROOM	BENJAMIN	GAMMAKU.F
EMBRYO	-	15 : 9	14 : 10	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
WINE	9 : 15	-	13 : 11	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WHOSE	10 : 14	11 : 13	-	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PISQ7	0 : 24	0 : 24	0 : 24	-	14 : 10	13 : 11	17 : 7	19 : 5	18 : 6	20 : 4	10 : 14	23 : 1	23 : 1	23 : 1	12 : 12
DJALL	0 : 24	0 : 24	0 : 24	10 : 14	-	11 : 13	11 : 13	18 : 4	16 : 8	23 : 1	6 : 18	23 : 1	23 : 1	22 : 2	16 : 8
LICHT	0 : 24	0 : 24	0 : 24	11 : 13	13 : 11	-	12 : 12	13 : 11	20 : 4	15 : 9	17 : 7	12 : 12	22 : 2	4 : 20	10 : 14
STAHLFAUST	0 : 24	0 : 24	0 : 24	7 : 17	13 : 11	12 : 12	-	11 : 13	15 : 9	16 : 8	12 : 12	19 : 5	21 : 3	8 : 16	15 : 9
PUREROCKY	0 : 24	0 : 24	0 : 24	5 : 19	4 : 18	11 : 13	13 : 11	-	9 : 15	19 : 5	11 : 13	21 : 3	20 : 4	15 : 9	8 : 16
VALKYRIE	1 : 23	0 : 24	0 : 24	6 : 18	8 : 16	4 : 20	9 : 15	15 : 9	-	9 : 15	19 : 5	19 : 5	22 : 2	18 : 6	9 : 15
CRUSHER	0 : 24	0 : 24	0 : 24	4 : 20	1 : 23	9 : 15	8 : 16	5 : 19	15 : 9	-	19 : 5	21 : 3	21 : 3	4 : 20	10 : 14
FIVEROW	1 : 23	0 : 24	0 : 24	14 : 10	18 : 6	7 : 17	12 : 12	13 : 11	5 : 19	5 : 19	-	3 : 21	14 : 10	4 : 20	6 : 18
PROLOG	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	12 : 12	5 : 19	3 : 21	5 : 19	3 : 21	21 : 3	-	20 : 4	1 : 23	8 : 16
MUSHROOM	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	2 : 22	3 : 21	4 : 20	2 : 22	3 : 21	10 : 14	4 : 20	-	0 : 24	0 : 24
BENJAMIN	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	20 : 4	16 : 8	9 : 15	6 : 18	20 : 4	20 : 4	23 : 1	24 : 0	-	19 : 5
GAMMAKU.F	0 : 24	0 : 24	0 : 24	12 : 12	8 : 16	14 : 10	9 : 15	16 : 8	15 : 9	14 : 10	18 : 6	16 : 8	24 : 0	5 : 19	-
