#	YIXIN17	GORO17	HEWER15	SLOWRENJU17	TITO14	SWINE17	CARBON17	WINE	EMBRYO	PELA17	WHOSE	GMOTOR11	CHIS17	XOXO17	KANEC09	ZETOR17	EULRING	LICHT	JUDE	PECUCHET	SPARKLE	QMENTAT6	PUSKVOREC	NOESIS	IMRO15	FASTGOMOKU14	PISQ7	DJALL	BENJAMIN	VALKYRIE	STAHLFAUST	FIVEROW	PUREROCKY	CRUSHER	PROLOG36	MUSHROOM	GAMMAKU.FG
YIXIN17	-	19 : 5	20 : 4	24 : 0	24 : 0	22 : 2	23 : 1	22 : 2	22 : 2	24 : 0	23 : 1	22 : 2	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GORO17	5 : 19	-	13 : 11	16 : 8	15 : 9	17 : 7	21 : 3	18 : 6	16 : 8	24 : 0	23 : 1	20 : 4	23 : 1	24 : 0	22 : 2	22 : 2	24 : 0	24 : 0	24 : 0	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
HEWER15	4 : 20	11 : 13	-	15 : 9	14 : 10	16 : 8	14 : 10	21 : 3	17 : 7	21 : 3	24 : 0	23 : 1	21 : 3	23 : 1	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SLOWRENJU17	0 : 24	8 : 16	9 : 15	-	11 : 13	15 : 9	15 : 9	17 : 7	19 : 5	19 : 5	21 : 3	21 : 3	21 : 3	22 : 2	19 : 5	24 : 0	23 : 1	24 : 0	24 : 0	22 : 2	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
TITO14	0 : 24	9 : 15	10 : 14	13 : 11	-	19 : 5	15 : 9	18 : 6	14 : 10	22 : 2	14 : 10	22 : 2	18 : 6	18 : 6	19 : 5	23 : 1	23 : 1	22 : 2	24 : 0	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SWINE17	2 : 22	7 : 17	8 : 16	9 : 15	5 : 19	-	11 : 13	17 : 7	12 : 12	15 : 9	20 : 4	20 : 4	21 : 3	17 : 7	20 : 4	24 : 0	24 : 0	22 : 2	24 : 0	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
CARBON17	1 : 23	3 : 21	10 : 14	9 : 15	9 : 15	13 : 11	-	11 : 13	17 : 7	20 : 4	20 : 4	19 : 5	18 : 6	17 : 7	19 : 5	17 : 7	22 : 2	22 : 2	24 : 0	21 : 3	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WINE	2 : 22	6 : 18	3 : 21	7 : 17	6 : 18	7 : 17	13 : 11	-	10 : 14	16 : 8	13 : 11	12 : 12	16 : 8	20 : 4	21 : 3	20 : 4	19 : 5	21 : 3	23 : 1	20 : 4	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
EMBRYO	2 : 22	8 : 16	7 : 17	5 : 19	10 : 14	12 : 12	7 : 17	14 : 10	-	20 : 4	11 : 13	17 : 7	10 : 14	17 : 7	13 : 11	15 : 9	24 : 0	21 : 3	17 : 7	15 : 9	23 : 1	23 : 1	24 : 0	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	21 : 3	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1
PELA17	0 : 24	0 : 24	3 : 21	5 : 19	2 : 22	9 : 15	4 : 20	8 : 16	4 : 20	-	16 : 8	9 : 15	14 : 10	22 : 2	19 : 5	21 : 3	22 : 2	23 : 1	24 : 0	20 : 4	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WHOSE	1 : 23	1 : 23	0 : 24	3 : 21	10 : 14	4 : 20	4 : 20	11 : 13	13 : 11	8 : 16	-	10 : 14	16 : 8	20 : 4	15 : 9	16 : 8	21 : 3	24 : 0	22 : 2	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
