-	YIXIN17	RENJUSOLVER.S	SLOWRENJU17	HEWER15	TITO14	WHOSE	CARBON17	GMOTOR11	PELA17	ZETOR17
YIXIN17	-	22 : 1	22 : 1	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0
RENJUSOLVER.S	1 : 22	-	14 : 8	13 : 8	15 : 9	20 : 4	19 : 5	20 : 4	22 : 0	21 : 3
SLOWRENJU17	1 : 22	8 : 14	-	13 : 9	11 : 12	21 : 3	22 : 2	21 : 3	23 : 1	23 : 1
HEWER15	0 : 24	8 : 13	9 : 13	-	13 : 10	19 : 5	23 : 1	22 : 2	19 : 1	24 : 0
TITO14	1 : 23	9 : 15	12 : 11	10 : 13	-	19 : 5	20 : 4	21 : 3	23 : 1	22 : 2
WHOSE	0 : 24	4 : 20	3 : 21	5 : 19	5 : 19	-	13 : 11	12 : 11	15 : 9	20 : 4
CARBON17	1 : 23	5 : 19	2 : 22	1 : 23	4 : 20	11 : 13	-	13 : 11	17 : 2	12 : 12
GMOTOR11	0 : 24	4 : 20	3 : 21	2 : 22	3 : 21	11 : 12	11 : 13	-	19 : 3	13 : 11
PELA17	0 : 24	0 : 22	1 : 23	1 : 19	1 : 23	9 : 15	2 : 17	3 : 19	-	15 : 9
ZETOR17	0 : 24	3 : 21	1 : 23	0 : 24	2 : 22	4 : 20	12 : 12	11 : 13	9 : 15	-
