-	YIXIN18	EMBRYO18	GORO18	RAPFI	WINE18	TITO14	SLOWRENJU18	ALPHAGOMOKU.MK	RENJUSOLVER	HEWER18	ONIX16	WHOSE18	SWINE17	GOFIVE	CARBON17	DEEPFIRE
YIXIN18	-	14 : 10	17 : 7	17 : 7	22 : 2	23 : 1	24 : 0	23 : 1	22 : 2	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
EMBRYO18	10 : 14	-	15 : 9	22 : 2	23 : 1	21 : 3	21 : 3	22 : 2	22 : 2	22 : 2	21 : 3	23 : 1	23 : 1	24 : 0	22 : 2	23 : 1
GORO18	7 : 17	9 : 15	-	7 : 17	16 : 8	19 : 5	20 : 4	18 : 6	16 : 8	19 : 5	22 : 2	21 : 3	23 : 1	24 : 0	22 : 2	23 : 1
RAPFI	7 : 17	2 : 22	17 : 7	-	19 : 5	19 : 5	19 : 5	18 : 6	18 : 6	19 : 5	18 : 6	18 : 6	21 : 3	23 : 1	23 : 1	21 : 3
WINE18	2 : 22	1 : 23	8 : 16	5 : 19	-	8 : 16	15 : 9	14 : 10	17 : 7	17 : 7	15 : 9	17 : 7	17 : 7	18 : 6	23 : 1	20 : 4
TITO14	1 : 23	3 : 21	5 : 19	5 : 19	16 : 8	-	15 : 9	11 : 13	13 : 11	11 : 13	18 : 6	15 : 9	20 : 4	19 : 5	19 : 5	17 : 7
SLOWRENJU18	0 : 24	3 : 21	4 : 20	5 : 19	9 : 15	9 : 15	-	15 : 9	13 : 11	15 : 9	15 : 9	18 : 6	16 : 8	19 : 5	18 : 6	21 : 3
ALPHAGOMOKU.MK	1 : 23	2 : 22	6 : 18	6 : 18	10 : 14	13 : 11	9 : 15	-	12 : 12	16 : 8	16 : 8	16 : 8	12 : 12	18 : 6	20 : 4	21 : 3
RENJUSOLVER	2 : 22	2 : 22	8 : 16	6 : 18	7 : 17	11 : 13	11 : 13	12 : 12	-	15 : 8	13 : 11	15 : 9	17 : 7	17 : 7	13 : 11	14 : 10
HEWER18	3 : 21	2 : 22	5 : 19	5 : 19	7 : 17	13 : 11	9 : 15	8 : 16	8 : 15	-	11 : 13	16 : 8	13 : 11	17 : 7	16 : 8	18 : 6
ONIX16	0 : 24	3 : 21	2 : 22	6 : 18	9 : 15	6 : 18	9 : 15	8 : 16	11 : 13	13 : 11	-	14 : 10	14 : 10	14 : 10	13 : 11	13 : 11
WHOSE18	0 : 24	1 : 23	3 : 21	6 : 18	7 : 17	9 : 15	6 : 18	8 : 16	9 : 15	8 : 16	10 : 14	-	16 : 8	15 : 9	18 : 6	10 : 14
SWINE17	0 : 24	1 : 23	1 : 23	3 : 21	7 : 17	4 : 20	8 : 16	12 : 12	7 : 17	11 : 13	10 : 14	8 : 16	-	10 : 14	14 : 10	13 : 11
GOFIVE	0 : 24	0 : 24	0 : 24	1 : 23	6 : 18	5 : 19	5 : 19	6 : 18	7 : 17	7 : 17	10 : 14	9 : 15	14 : 10	-	13 : 11	12 : 12
CARBON17	0 : 24	2 : 22	2 : 22	1 : 23	1 : 23	5 : 19	6 : 18	4 : 20	11 : 13	8 : 16	11 : 13	6 : 18	10 : 14	11 : 13	-	17 : 7
DEEPFIRE	0 : 24	1 : 23	1 : 23	3 : 21	4 : 20	7 : 17	3 : 21	3 : 21	10 : 14	6 : 18	11 : 13	14 : 10	11 : 13	12 : 12	7 : 17	-
