-	RAPFI	ALPHAGOMOKU.MK	GOFIVE	DEEPFIRE	GMOTOR11	PELA17	CHIS17	XOXO18	EGO	KANEC09	ZETOR17	EULRING	PECUCHET	JUDE	SPARKLE	DJALL18
RAPFI	-	17 : 7	20 : 4	22 : 2	22 : 2	24 : 0	23 : 1	21 : 3	24 : 0	21 : 3	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.MK	7 : 17	-	10 : 14	16 : 8	20 : 4	22 : 2	21 : 3	18 : 6	20 : 4	21 : 3	19 : 5	22 : 2	22 : 2	24 : 0	24 : 0	24 : 0
GOFIVE	4 : 20	14 : 10	-	14 : 10	16 : 8	21 : 3	15 : 9	18 : 6	20 : 4	19 : 5	22 : 2	22 : 2	21 : 3	22 : 2	24 : 0	24 : 0
DEEPFIRE	2 : 22	8 : 16	10 : 14	-	15 : 9	20 : 4	18 : 6	12 : 12	21 : 3	18 : 6	19 : 5	23 : 1	20 : 4	23 : 1	23 : 1	24 : 0
GMOTOR11	2 : 22	4 : 20	8 : 16	9 : 15	-	14 : 10	12 : 12	15 : 9	11 : 13	18 : 6	18 : 6	21 : 3	22 : 2	21 : 3	22 : 2	24 : 0
PELA17	0 : 24	2 : 22	3 : 21	4 : 20	10 : 14	-	16 : 8	14 : 10	14 : 10	20 : 4	13 : 11	22 : 2	17 : 7	21 : 3	23 : 1	22 : 1
CHIS17	1 : 23	3 : 21	9 : 15	6 : 18	12 : 12	8 : 16	-	12 : 12	15 : 9	12 : 12	16 : 8	18 : 6	20 : 4	20 : 4	22 : 2	22 : 2
XOXO18	3 : 21	6 : 18	6 : 18	12 : 12	9 : 15	10 : 14	12 : 12	-	14 : 10	13 : 11	13 : 11	19 : 5	17 : 7	17 : 7	24 : 0	20 : 4
EGO	0 : 24	4 : 20	4 : 20	3 : 21	13 : 11	10 : 14	9 : 15	10 : 14	-	13 : 11	12 : 12	16 : 8	13 : 11	20 : 4	23 : 1	23 : 1
KANEC09	3 : 21	3 : 21	5 : 19	6 : 18	6 : 18	4 : 20	12 : 12	11 : 13	11 : 13	-	11 : 13	16 : 8	23 : 1	23 : 1	19 : 5	18 : 6
ZETOR17	0 : 24	5 : 19	2 : 22	5 : 19	6 : 18	11 : 13	8 : 16	11 : 13	12 : 12	13 : 11	-	16 : 8	17 : 7	16 : 8	21 : 3	23 : 1
EULRING	1 : 23	2 : 22	2 : 22	1 : 23	3 : 21	2 : 22	6 : 18	5 : 19	8 : 16	8 : 16	8 : 16	-	18 : 6	14 : 10	19 : 5	18 : 6
PECUCHET	0 : 24	2 : 22	3 : 21	4 : 20	2 : 22	7 : 17	4 : 20	7 : 17	11 : 13	1 : 23	7 : 17	6 : 18	-	12 : 12	15 : 9	14 : 10
JUDE	0 : 24	0 : 24	2 : 22	1 : 23	3 : 21	3 : 21	4 : 20	7 : 17	4 : 20	1 : 23	8 : 16	10 : 14	12 : 12	-	15 : 9	18 : 6
SPARKLE	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	2 : 22	0 : 24	1 : 23	5 : 19	3 : 21	5 : 19	9 : 15	9 : 15	-	14 : 10
DJALL18	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 22	2 : 22	4 : 20	1 : 23	6 : 18	1 : 23	6 : 18	10 : 14	6 : 18	10 : 14	-
