-	RAPFI	ALPHAGOMOKU.MK	GOFIVE	DEEPFIRE	EGO	DJALL18	QMENTAT6	PUSKVOREC	NOESIS	IMRO15	LICHT	FASTGOMOKU14	PISQ7	LIGHTBLUE	STAHLFAUST	PUREROCKY
RAPFI	-	19 : 5	21 : 3	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.MK	5 : 19	-	13 : 11	17 : 7	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GOFIVE	3 : 21	11 : 13	-	13 : 11	21 : 3	24 : 0	22 : 2	24 : 0	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
DEEPFIRE	1 : 23	7 : 17	11 : 13	-	20 : 4	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
EGO	0 : 24	2 : 22	3 : 21	4 : 20	-	22 : 2	24 : 0	23 : 1	21 : 3	24 : 0	21 : 3	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0
DJALL18	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	-	17 : 7	15 : 9	14 : 7	10 : 3	16 : 8	15 : 4	22 : 2	22 : 2	23 : 1	21 : 3
QMENTAT6	0 : 24	0 : 24	2 : 22	0 : 24	0 : 24	7 : 17	-	13 : 11	14 : 9	14 : 8	17 : 7	19 : 4	20 : 4	23 : 1	24 : 0	21 : 3
PUSKVOREC	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	9 : 15	11 : 13	-	13 : 11	17 : 7	8 : 16	18 : 6	20 : 4	19 : 5	17 : 7	20 : 4
NOESIS	0 : 24	0 : 24	2 : 22	1 : 23	3 : 21	7 : 14	9 : 14	11 : 13	-	9 : 12	19 : 5	10 : 8	13 : 11	19 : 0	20 : 4	21 : 1
IMRO15	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 10	8 : 14	7 : 17	12 : 9	-	15 : 9	14 : 9	12 : 12	20 : 4	21 : 3	18 : 6
LICHT	0 : 24	1 : 23	1 : 23	1 : 23	3 : 21	8 : 16	7 : 17	16 : 8	5 : 19	9 : 15	-	6 : 18	20 : 4	14 : 10	20 : 4	17 : 7
FASTGOMOKU14	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	4 : 15	4 : 19	6 : 18	8 : 10	9 : 14	18 : 6	-	14 : 10	20 : 4	18 : 6	19 : 5
PISQ7	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	4 : 20	4 : 20	11 : 13	12 : 12	4 : 20	10 : 14	-	16 : 8	19 : 5	16 : 8
LIGHTBLUE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	1 : 23	5 : 19	0 : 19	4 : 20	10 : 14	4 : 20	8 : 16	-	14 : 10	12 : 12
STAHLFAUST	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	7 : 17	4 : 20	3 : 21	4 : 20	6 : 18	5 : 19	10 : 14	-	14 : 10
PUREROCKY	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 21	3 : 21	4 : 20	1 : 21	6 : 18	7 : 17	5 : 19	8 : 16	12 : 12	10 : 14	-
