-	RAPFI	ALPHAGOMOKU.MK	GOFIVE	DEEPFIRE	EGO	LIGHTBLUE	BENJAMIN	CRUSHER	VALKYRIE	FIVEROW	PROLOG	MUSHROOM	WHATATEAM
RAPFI	-	15 : 9	20 : 4	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.MK	9 : 15	-	13 : 11	19 : 5	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GOFIVE	4 : 20	11 : 13	-	13 : 11	19 : 5	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
DEEPFIRE	0 : 24	5 : 19	11 : 13	-	20 : 4	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
EGO	0 : 24	3 : 21	5 : 19	4 : 20	-	24 : 0	24 : 0	24 : 0	23 : 1	22 : 2	24 : 0	24 : 0	24 : 0
LIGHTBLUE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	-	11 : 13	18 : 6	16 : 8	20 : 4	21 : 3	23 : 1	24 : 0
BENJAMIN	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	13 : 11	-	21 : 3	10 : 14	13 : 11	22 : 2	19 : 5	24 : 0
CRUSHER	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	6 : 18	3 : 21	-	16 : 8	14 : 10	17 : 7	18 : 6	24 : 0
VALKYRIE	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	8 : 16	14 : 10	8 : 16	-	8 : 16	14 : 10	16 : 8	23 : 1
FIVEROW	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	4 : 20	11 : 13	10 : 14	16 : 8	-	4 : 20	18 : 6	24 : 0
PROLOG	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 21	2 : 22	7 : 17	10 : 14	20 : 4	-	20 : 4	22 : 2
MUSHROOM	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	5 : 19	6 : 18	8 : 16	6 : 18	4 : 20	-	8 : 16
WHATATEAM	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	2 : 22	16 : 8	-
