-	EMBRYO18	YIXIN18	GORO18	RAPFI	TITO14	WINE18	HEWER18	SLOWRENJU18	WHOSE18	SWINE17	GOFIVE	ALPHAGOMOKU.MK	DEEPFIRE	CARBON17	GMOTOR11	CHIS17	PELA17	XOXO18	EGO	KANEC09	ZETOR17	EULRING	LICHT	PECUCHET	JUDE	SPARKLE	DJALL18	QMENTAT6	ALPHAGOMOKU.GS	NOESIS	PUSKVOREC	IMRO15	FASTGOMOKU14	PISQ7	LIGHTBLUE	BENJAMIN	FIVEROW	VALKYRIE	STAHLFAUST	CRUSHER	PROLOG	MUSHROOM	WHATATEAM	PUREROCKY
EMBRYO18	-	18 : 6	18 : 6	19 : 5	21 : 3	24 : 0	22 : 2	23 : 1	22 : 2	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
YIXIN18	6 : 18	-	15 : 9	16 : 8	24 : 0	23 : 1	21 : 3	22 : 2	22 : 2	22 : 2	20 : 4	20 : 4	22 : 2	23 : 1	23 : 1	23 : 1	24 : 0	22 : 2	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GORO18	6 : 18	9 : 15	-	7 : 17	18 : 6	18 : 6	18 : 6	19 : 5	21 : 3	20 : 4	21 : 3	21 : 3	23 : 1	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
RAPFI	5 : 19	8 : 16	17 : 7	-	15 : 9	21 : 3	15 : 9	20 : 4	21 : 3	20 : 4	21 : 3	21 : 3	23 : 1	23 : 1	23 : 1	23 : 1	24 : 0	23 : 1	24 : 0	19 : 5	24 : 0	24 : 0	23 : 1	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
TITO14	3 : 21	0 : 24	6 : 18	9 : 15	-	11 : 13	15 : 9	19 : 5	16 : 8	13 : 11	17 : 7	15 : 9	21 : 3	20 : 4	21 : 3	19 : 5	19 : 5	18 : 6	23 : 1	22 : 2	23 : 1	23 : 1	22 : 2	22 : 2	23 : 1	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WINE18	0 : 24	1 : 23	6 : 18	3 : 21	13 : 11	-	14 : 10	19 : 5	15 : 9	14 : 10	18 : 6	15 : 9	18 : 6	19 : 5	20 : 4	20 : 4	22 : 2	23 : 1	22 : 2	20 : 4	23 : 1	21 : 3	21 : 3	22 : 2	22 : 2	24 : 0	24 : 0	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
HEWER18	2 : 22	3 : 21	6 : 18	9 : 15	9 : 15	10 : 14	-	10 : 13	14 : 10	18 : 6	17 : 7	10 : 14	14 : 10	19 : 5	20 : 4	22 : 2	19 : 5	23 : 1	21 : 3	21 : 3	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SLOWRENJU18	1 : 23	2 : 22	5 : 19	4 : 20	5 : 19	5 : 19	13 : 10	-	14 : 10	14 : 10	17 : 7	10 : 14	21 : 3	16 : 8	21 : 3	19 : 5	22 : 2	20 : 4	23 : 1	19 : 5	21 : 3	22 : 2	23 : 1	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WHOSE18	2 : 22	2 : 22	3 : 21	3 : 21	8 : 16	9 : 15	10 : 14	10 : 14	-	13 : 11	13 : 11	17 : 7	15 : 9	15 : 9	20 : 4	21 : 3	19 : 5	23 : 1	22 : 2	19 : 5	23 : 1	21 : 3	22 : 2	19 : 5	24 : 0	24 : 0	23 : 1	24 : 0	23 : 1	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SWINE17	0 : 24	2 : 22	4 : 20	4 : 20	11 : 13	10 : 14	6 : 18	10 : 14	11 : 13	-	10 : 14	15 : 9	10 : 14	16 : 8	19 : 5	19 : 5	17 : 7	19 : 5	22 : 2	20 : 4	20 : 4	22 : 2	24 : 0	23 : 1	22 : 2	24 : 0	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GOFIVE	0 : 24	4 : 20	3 : 21	3 : 21	7 : 17	6 : 18	7 : 17	7 : 17	11 : 13	14 : 10	-	14 : 10	13 : 11	17 : 7	17 : 7	16 : 8	21 : 3	18 : 6	20 : 4	20 : 4	20 : 4	23 : 1	20 : 4	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.MK	1 : 23	4 : 20	3 : 21	3 : 21	9 : 15	9 : 15	14 : 10	14 : 10	7 : 17	9 : 15	10 : 14	-	13 : 11	15 : 9	18 : 6	16 : 8	22 : 2	16 : 8	15 : 9	18 : 6	19 : 5	20 : 4	21 : 3	21 : 3	23 : 1	24 : 0	24 : 0	24 : 0	23 : 1	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
DEEPFIRE	0 : 24	2 : 22	1 : 23	1 : 23	3 : 21	6 : 18	10 : 14	3 : 21	9 : 15	14 : 10	11 : 13	11 : 13	-	13 : 11	13 : 11	17 : 7	18 : 6	21 : 3	19 : 5	19 : 5	18 : 6	24 : 0	21 : 3	22 : 2	22 : 2	22 : 2	24 : 0	24 : 0	22 : 2	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0
CARBON17	0 : 24	1 : 23	2 : 22	1 : 23	4 : 20	5 : 19	5 : 19	8 : 16	9 : 15	8 : 16	7 : 17	9 : 15	11 : 13	-	19 : 5	16 : 8	18 : 6	20 : 4	21 : 3	20 : 4	20 : 4	21 : 3	21 : 3	19 : 5	23 : 1	23 : 1	24 : 0	23 : 1	23 : 1	20 : 4	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GMOTOR11	0 : 24	1 : 23	0 : 24	1 : 23	3 : 21	4 : 20	4 : 20	3 : 21	4 : 20	5 : 19	7 : 17	6 : 18	11 : 13	5 : 19	-	16 : 8	16 : 8	12 : 12	15 : 9	13 : 11	15 : 9	19 : 5	21 : 3	23 : 1	20 : 4	23 : 1	22 : 2	24 : 0	22 : 2	22 : 2	23 : 1	23 : 1	24 : 0	24 : 0	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0
CHIS17	0 : 24	1 : 23	1 : 23	1 : 23	5 : 19	4 : 20	2 : 22	5 : 19	3 : 21	5 : 19	8 : 16	8 : 16	7 : 17	8 : 16	8 : 16	-	12 : 12	12 : 12	11 : 13	11 : 13	17 : 7	20 : 4	19 : 5	20 : 4	22 : 2	24 : 0	21 : 3	24 : 0	22 : 2	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PELA17	0 : 24	0 : 24	0 : 24	0 : 24	5 : 19	2 : 22	5 : 19	2 : 22	5 : 19	7 : 17	3 : 21	2 : 22	6 : 18	6 : 18	8 : 16	12 : 12	-	18 : 6	15 : 9	15 : 9	15 : 9	19 : 5	22 : 2	17 : 7	21 : 3	23 : 1	23 : 0	24 : 0	20 : 4	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
XOXO18	0 : 24	2 : 22	0 : 24	1 : 23	6 : 18	1 : 23	1 : 23	4 : 20	1 : 23	5 : 19	6 : 18	8 : 16	3 : 21	4 : 20	12 : 12	12 : 12	6 : 18	-	9 : 15	16 : 8	17 : 7	20 : 4	19 : 5	17 : 7	19 : 5	23 : 1	21 : 3	24 : 0	23 : 1	21 : 3	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
