-	YIXIN18	RENJUSOLVER	TITO14	SLOWRENJU18	HEWER18.S	WHOSE18	GOFIVE	CARBON17	GMOTOR11	PELA17	ZETOR17	XOXO18
YIXIN18	-	20 : 3	23 : 1	20 : 2	18 : 6	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
RENJUSOLVER	3 : 20	-	14 : 8	11 : 13	18 : 4	13 : 9	19 : 4	20 : 3	21 : 2	23 : 0	23 : 1	24 : 0
TITO14	1 : 23	8 : 14	-	13 : 10	13 : 10	17 : 7	17 : 7	23 : 1	23 : 1	23 : 1	23 : 1	24 : 0
SLOWRENJU18	2 : 20	13 : 11	10 : 13	-	14 : 10	13 : 9	18 : 6	20 : 4	23 : 1	23 : 0	22 : 2	24 : 0
HEWER18.S	6 : 18	4 : 18	10 : 13	10 : 14	-	13 : 10	17 : 6	21 : 3	18 : 5	20 : 2	24 : 0	24 : 0
WHOSE18	1 : 23	9 : 13	7 : 17	9 : 13	10 : 13	-	18 : 4	23 : 1	20 : 3	17 : 1	23 : 1	24 : 0
GOFIVE	0 : 24	4 : 19	7 : 17	6 : 18	6 : 17	4 : 18	-	12 : 11	20 : 3	24 : 0	17 : 7	24 : 0
CARBON17	0 : 24	3 : 20	1 : 23	4 : 20	3 : 21	1 : 23	11 : 12	-	16 : 7	18 : 2	18 : 6	24 : 0
GMOTOR11	0 : 24	2 : 21	1 : 23	1 : 23	5 : 18	3 : 20	3 : 20	7 : 16	-	13 : 8	15 : 9	23 : 1
PELA17	0 : 24	0 : 23	1 : 23	0 : 23	2 : 20	1 : 17	0 : 24	2 : 18	8 : 13	-	12 : 12	24 : 0
ZETOR17	0 : 24	1 : 23	1 : 23	2 : 22	0 : 24	1 : 23	7 : 17	6 : 18	9 : 15	12 : 12	-	23 : 1
XOXO18	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	-
